task,group,zero_shot,real_1shot,own_zero_L9to27,own_mean_L9to27,cf_zero_L9to27,cf_mean_L9to27,cf_task,cos_own_cf
day_after_textual_date,train,0.0,0.4667,0.0,0.4467,0.22,0.4867,first_three_letters,0.5033
double_no_carry,heldout,0.0,0.8867,0.06,0.8667,0.8067,0.8867,first_letter_second_word,0.5814
double_number,train,0.0,0.7733,0.02,0.72,0.5333,0.7067,compound_first,0.5521
ends_with_ing,train,0.0,0.3667,0.0,0.1933,0.1733,0.3333,next_in_group,0.4168
english-french,train,0.0,0.58,0.0067,0.4933,0.36,0.5933,last_vowel,0.6522
english-german,train,0.0,0.3133,0.0133,0.3133,0.0867,0.34,adjective_to_adverb,0.7152
english-italian,train,0.0,0.5467,0.0133,0.5,0.3667,0.54,person_place_thing,0.5975
english-portuguese,train,0.0,0.5467,0.0067,0.4933,0.0733,0.5267,adjective_to_noun,0.7876
english-spanish,train,0.0,0.6667,0.02,0.5933,0.1933,0.6267,adjective_to_adverb,0.7372
first_digit,train,0.0,0.34,0.0933,0.2533,0.2,0.4067,verb_to_third_person,0.5886
first_letter_second_word,heldout,0.0,0.08,0.0,0.1067,0.0133,0.1333,double_no_carry,0.5814
first_three_letters,train,0.0,0.1933,0.0,0.2067,0.0867,0.26,singular_or_plural,0.5408
first_two_letters,train,0.0,0.1533,0.0,0.08,0.0667,0.14,day_after_textual_date,0.5039
first_vowel,train,0.0,0.1133,0.0,0.0933,0.06,0.08,person_place_thing,0.6042
french-english,heldout,0.0067,0.74,0.02,0.6267,0.3133,0.6933,larger_of_pair,0.6197
french_noun_gender,heldout,0.0,0.6267,0.0,0.2133,0.0467,0.5933,english-italian,0.6031
german-english,train,0.0133,0.66,0.0,0.4467,0.0667,0.5867,french_noun_gender,0.6258
german_noun_gender,train,0.0,0.3067,0.0,0.2533,0.1133,0.3467,first_two_letters,0.6109
gerund_to_base,train,0.0133,0.7467,0.0,0.46,0.28,0.7467,sentiment,0.5658
gerund_to_past,train,0.0,0.6667,0.0,0.3533,0.2867,0.6667,contains_letter_e,0.5576
halve_even_number,train,0.0,0.6267,0.0333,0.5333,0.4733,0.62,capitalize_first_letter,0.5836
hypernym_category,train,0.0067,0.3733,0.0,0.2933,0.1,0.4,ends_with_ing,0.6131
initials_two_words,train,0.0,0.58,0.0,0.3,0.0867,0.5867,past_to_base,0.6353
iso_date_to_month,train,0.0,1.0,0.0267,1.0,0.48,1.0,present-past,0.6086
iso_date_year_plus_one,train,0.0,0.4267,0.0467,0.3733,0.16,0.46,landmark-country,0.6109
landmark-country,train,0.0,0.6533,0.0,0.5067,0.3267,0.58,adjective_to_noun,0.6559
language_identification,train,0.0,0.6333,0.0067,0.3733,0.26,0.6333,german-english,0.7269
larger_of_pair,train,0.0,0.5933,0.0667,0.5867,0.52,0.6133,sentiment,0.5525
larger_than_1000,train,0.0,0.5533,0.0,0.3533,0.32,0.5267,next_in_period,0.3906
largest_digit,heldout,0.0,0.1267,0.0333,0.1933,0.1067,0.2,spanish-english,0.6099
last_digit,heldout,0.0,0.1667,0.0133,0.16,0.1133,0.1333,spanish_noun_gender,0.4883
last_two_letters,heldout,0.0,0.0533,0.0,0.04,0.0,0.04,double_no_carry,0.5583
last_vowel,train,0.0,0.1,0.0067,0.1133,0.0333,0.1,language_identification,0.598
lowercase_first_letter,train,0.0,0.4533,0.0,0.2867,0.2333,0.4867,count_digits,0.607
lowercase_last_letter,train,0.0,0.1867,0.0,0.1467,0.1,0.1533,city-country,0.5595
lowercase_word,train,0.0067,0.8267,0.0067,0.74,0.4467,0.84,round_up_to_ten,0.6285
national_parks,train,0.0067,0.7467,0.0133,0.6133,0.4867,0.7667,next_number_digits,0.5303
nato_first_letter,train,0.0,0.0133,0.0,0.0,0.0067,0.0133,sentiment,0.4216
natural_manmade,heldout,0.0,0.1,0.0,0.0533,0.0067,0.08,plural_to_singular,0.6181
next_in_group,heldout,0.0,0.25,0.0,0.0769,0.0962,0.1538,first_two_letters,0.4925
next_in_period,train,0.0,0.2308,0.0,0.1731,0.2885,0.3462,word_polarity,0.4625
next_item,train,0.0,0.46,0.0,0.4,0.2133,0.4467,person-sport,0.5597
next_month_of_date,train,0.0,0.8933,0.0,0.7667,0.2867,0.8933,uppercase_word,0.5084
next_number_digits,train,0.0067,0.7533,0.1,0.7133,0.5533,0.7533,person_place_thing,0.5528
number_word_to_digits,heldout,0.6267,0.9867,0.1867,0.96,0.6733,0.9867,past_to_base,0.6319
park-country,heldout,0.0,0.7467,0.0067,0.72,0.56,0.78,french_noun_gender,0.5442
past_to_base,heldout,0.0,0.8,0.0,0.5933,0.1667,0.7667,capitalize_first_letter,0.6987
person-instrument,train,0.0,0.1467,0.0,0.0733,0.04,0.16,article_choice,0.614
person-sport,heldout,0.0,0.5933,0.0,0.4133,0.1533,0.5933,first_vowel,0.542
person_place_thing,train,0.0,0.08,0.0,0.0467,0.0133,0.0667,gerund_to_base,0.6814
plural_to_singular,train,0.0,0.7,0.0,0.4,0.02,0.5933,english-spanish,0.7925
pos_label,train,0.0,0.74,0.0,0.5333,0.3,0.7333,last_digit,0.5497
present-past,train,0.0,0.7333,0.0,0.4333,0.3267,0.68,round_up_to_ten,0.5844
prev_item,train,0.0,0.1933,0.0067,0.1333,0.0733,0.2067,park-country,0.6156
prev_number_digits,train,0.0,0.6667,0.0267,0.56,0.48,0.6667,person-instrument,0.4978
product-company,heldout,0.0,0.4933,0.0,0.3667,0.2933,0.5067,gerund_to_past,0.5935
remove_first_letter,train,0.0,0.1133,0.0,0.0533,0.02,0.08,third_person_to_base,0.742
remove_last_letter,train,0.0,0.2067,0.0067,0.14,0.1267,0.24,count_words,0.5864
round_up_to_ten,train,0.0,0.44,0.1267,0.3867,0.3333,0.3867,french_noun_gender,0.4311
second_digit,train,0.0,0.0867,0.0267,0.1,0.06,0.08,ag_news,0.5309
sentiment,train,0.0,0.9133,0.0,0.6533,0.6267,0.92,next_number_digits,0.4967
singular-plural,heldout,0.0,0.74,0.0,0.4467,0.0067,0.7733,compound_first,0.7411
singular_or_plural,train,0.0,0.4267,0.0,0.1667,0.06,0.38,capitalize,0.6401
smaller_of_pair,train,0.0,0.5,0.0667,0.4467,0.2867,0.4667,ends_with_ing,0.5673
spanish-english,train,0.0,0.7667,0.0267,0.6133,0.0067,0.6533,plural_to_singular,0.8521
spanish_noun_gender,train,0.0,0.8333,0.0,0.3133,0.0133,0.82,english-german,0.5724
starts_with_vowel,heldout,0.0,0.0267,0.0,0.0,0.0,0.02,park-country,0.5161
strip_prefix,train,0.0267,0.4267,0.0067,0.2867,0.0067,0.3667,person-sport,0.6439
synonym,train,0.0333,0.3533,0.02,0.2933,0.0267,0.32,person-instrument,0.6754
third_person_to_base,train,0.0,0.8,0.0,0.6067,0.2333,0.8067,iso_date_to_month,0.6534
times_five,train,0.0,0.4667,0.0467,0.4,0.2933,0.4733,lowercase_last_letter,0.5031
titlecase_phrase,train,0.0,0.2333,0.0,0.0467,0.0667,0.1667,us-city-state,0.631
uppercase_word,train,0.0,0.72,0.0067,0.2,0.32,0.7133,english-german,0.6643
us-city-state,train,0.02,0.7733,0.0067,0.6867,0.36,0.7733,spanish-english,0.7212
verb_to_third_person,heldout,0.0,0.58,0.0,0.2267,0.2533,0.5067,next_item,0.6618
word_polarity,train,0.0,0.46,0.0,0.0933,0.0667,0.4133,compound_first,0.579
