task,group,cf_task,cos_task_none,cos_gen_none,cos_task_own_mean,cos_gen_own_mean,cos_task_own_zero,cos_gen_own_zero,cos_task_cf_mean,cos_gen_cf_mean,cos_task_cf_zero,cos_gen_cf_zero
double_no_carry,heldout,first_letter_second_word,0.4059,0.3914,0.4323,0.4911,0.4262,0.5099,0.4098,0.3966,0.4091,0.3962
double_number,train,compound_first,0.4089,0.3912,0.4132,0.4856,0.3908,0.4803,0.4049,0.3898,0.4071,0.3923
ends_with_ing,train,next_in_group,0.5851,0.5599,0.4986,0.5654,0.491,0.5609,0.582,0.5594,0.5807,0.5595
english-french,train,last_vowel,0.4752,0.4631,0.4536,0.4758,0.458,0.4724,0.4758,0.4646,0.476,0.4646
english-german,train,adjective_to_adverb,0.4391,0.4194,0.4442,0.4579,0.444,0.4517,0.4414,0.4227,0.4406,0.4215
english-italian,train,person_place_thing,0.4207,0.4121,0.3985,0.4428,0.4077,0.4417,0.4208,0.4125,0.4204,0.4122
english-portuguese,train,adjective_to_noun,0.4661,0.4549,0.4384,0.4594,0.4454,0.4601,0.4644,0.4515,0.4647,0.4521
english-spanish,train,adjective_to_adverb,0.4826,0.4627,0.4632,0.482,0.4705,0.48,0.483,0.4637,0.483,0.4635
first_digit,train,verb_to_third_person,0.4625,0.4732,0.459,0.5377,0.4427,0.5369,0.4638,0.4746,0.4646,0.4763
first_letter_second_word,heldout,double_no_carry,0.517,0.5292,0.4368,0.5116,0.4338,0.5152,0.5122,0.5252,0.5152,0.5271
first_three_letters,train,singular_or_plural,0.4593,0.4575,0.4032,0.4715,0.4049,0.474,0.4586,0.4567,0.4575,0.4558
first_two_letters,train,day_after_textual_date,0.4336,0.4604,0.3703,0.4739,0.3683,0.4757,0.4319,0.459,0.4322,0.459
first_vowel,train,person_place_thing,0.4506,0.4815,0.4019,0.4939,0.4001,0.4933,0.4467,0.4746,0.4476,0.4762
french-english,heldout,larger_of_pair,0.5684,0.5727,0.5636,0.5758,0.5678,0.5777,0.5661,0.5713,0.5668,0.5717
french_noun_gender,heldout,english-italian,0.489,0.4706,0.4168,0.575,0.4212,0.5765,0.4892,0.4739,0.4889,0.4682
german-english,train,french_noun_gender,0.5758,0.5734,0.5707,0.5788,0.5751,0.5808,0.5757,0.5734,0.5758,0.5734
german_noun_gender,train,first_two_letters,0.4185,0.3762,0.3504,0.4037,0.3673,0.4158,0.4189,0.3768,0.4187,0.3763
gerund_to_base,train,sentiment,0.5661,0.5689,0.5356,0.5736,0.5414,0.5736,0.5668,0.571,0.5661,0.5698
gerund_to_past,train,contains_letter_e,0.54,0.5216,0.4979,0.5492,0.5077,0.5499,0.5392,0.5216,0.5395,0.5219
halve_even_number,train,capitalize_first_letter,0.3957,0.3877,0.3906,0.4656,0.3719,0.4648,0.3956,0.3885,0.3967,0.39
hypernym_category,train,ends_with_ing,0.5675,0.5353,0.5381,0.542,0.5341,0.539,0.5676,0.5355,0.5673,0.5351
initials_two_words,train,past_to_base,0.4849,0.5188,0.4116,0.5437,0.4084,0.5439,0.4846,0.5187,0.4851,0.5192
iso_date_to_month,train,present-past,0.5596,0.5626,0.4483,0.5076,0.4529,0.5099,0.5596,0.5626,0.5594,0.5623
iso_date_year_plus_one,train,landmark-country,0.4869,0.4913,0.4089,0.4686,0.4056,0.4739,0.492,0.5003,0.4914,0.4995
landmark-country,train,adjective_to_noun,0.5275,0.4936,0.4726,0.5043,0.4761,0.5051,0.5276,0.494,0.5273,0.4938
language_identification,train,german-english,0.5686,0.5126,0.5133,0.5502,0.5183,0.5493,0.569,0.5131,0.5699,0.5167
larger_of_pair,train,sentiment,0.517,0.5333,0.4951,0.5605,0.4873,0.5626,0.5188,0.5364,0.5181,0.536
larger_than_1000,train,next_in_period,0.5489,0.5802,0.4915,0.6023,0.4811,0.5941,0.5459,0.5802,0.5451,0.5808
largest_digit,heldout,spanish-english,0.4652,0.4695,0.4963,0.5736,0.4782,0.5669,0.4705,0.4819,0.4721,0.4865
last_digit,heldout,spanish_noun_gender,0.4715,0.4831,0.4735,0.5502,0.4591,0.5454,0.4748,0.4872,0.476,0.4893
last_two_letters,heldout,double_no_carry,0.3764,0.3896,0.3592,0.4513,0.3581,0.4503,0.3778,0.3931,0.3763,0.3887
last_vowel,train,language_identification,0.4088,0.4068,0.377,0.4567,0.3745,0.4573,0.4072,0.4059,0.4058,0.4041
lowercase_first_letter,train,count_digits,0.4944,0.5502,0.3672,0.4863,0.3616,0.483,0.4943,0.5486,0.4956,0.5504
lowercase_last_letter,train,city-country,0.4371,0.4773,0.3672,0.4863,0.3648,0.4881,0.4385,0.4804,0.4378,0.4805
lowercase_word,train,round_up_to_ten,0.5212,0.5723,0.5102,0.576,0.5172,0.5798,0.5222,0.5732,0.5222,0.573
national_parks,train,next_number_digits,0.5353,0.4774,0.457,0.4757,0.4592,0.4744,0.5362,0.4787,0.5359,0.4784
nato_first_letter,train,sentiment,0.3095,0.2644,0.3301,0.4949,0.3327,0.4969,0.3027,0.2557,0.303,0.2545
natural_manmade,heldout,plural_to_singular,0.552,0.5549,0.4759,0.5103,0.4731,0.5101,0.5546,0.5589,0.5556,0.5618
next_in_group,heldout,first_two_letters,0.3369,0.2778,0.369,0.4327,0.3735,0.4297,0.336,0.2768,0.3363,0.2772
next_in_period,train,word_polarity,0.3495,0.3183,0.3688,0.4309,0.3796,0.4374,0.3514,0.3216,0.3522,0.3227
next_item,train,person-sport,0.3927,0.4623,0.3821,0.4747,0.3807,0.4757,0.3935,0.4632,0.3936,0.463
next_month_of_date,train,uppercase_word,0.4975,0.5226,0.4171,0.5087,0.4109,0.5026,0.4995,0.5266,0.5024,0.5313
next_number_digits,train,person_place_thing,0.4325,0.458,0.4234,0.492,0.4236,0.4993,0.4328,0.459,0.4314,0.4572
number_word_to_digits,heldout,past_to_base,0.4621,0.478,0.4342,0.4993,0.4325,0.5033,0.4571,0.4723,0.4547,0.4716
park-country,heldout,french_noun_gender,0.493,0.4621,0.4337,0.4565,0.4361,0.4533,0.4928,0.4619,0.4931,0.4623
past_to_base,heldout,capitalize_first_letter,0.5498,0.5501,0.5076,0.5537,0.5163,0.555,0.554,0.5562,0.553,0.5546
person-instrument,train,article_choice,0.535,0.4831,0.487,0.4927,0.4849,0.4927,0.5351,0.4829,0.5352,0.4831
person-sport,heldout,first_vowel,0.5388,0.4992,0.4028,0.4565,0.4064,0.4593,0.5385,0.5009,0.5381,0.5002
person_place_thing,train,gerund_to_base,0.5541,0.5424,0.4559,0.5151,0.4528,0.5129,0.5538,0.5417,0.5532,0.543
plural_to_singular,train,english-spanish,0.5215,0.545,0.5039,0.5644,0.5147,0.5689,0.5234,0.5474,0.5231,0.5469
pos_label,train,last_digit,0.4798,0.4801,0.3868,0.4262,0.3877,0.4246,0.4679,0.4731,0.4753,0.4777
present-past,train,round_up_to_ten,0.5749,0.5624,0.4933,0.5512,0.5078,0.5575,0.5758,0.5634,0.5752,0.5631
prev_item,train,park-country,0.4044,0.472,0.384,0.4704,0.3828,0.4733,0.4034,0.4709,0.4032,0.4705
prev_number_digits,train,person-instrument,0.458,0.4557,0.4489,0.4953,0.4488,0.5052,0.4573,0.4557,0.4525,0.4479
product-company,heldout,gerund_to_past,0.4391,0.4071,0.4161,0.4556,0.4173,0.4552,0.4389,0.4074,0.4387,0.4075
remove_first_letter,train,third_person_to_base,0.4127,0.3966,0.3904,0.4345,0.396,0.4363,0.4111,0.396,0.4102,0.3947
remove_last_letter,train,count_words,0.5043,0.4493,0.446,0.4645,0.4516,0.4683,0.5004,0.4494,0.502,0.448
round_up_to_ten,train,french_noun_gender,0.4158,0.4497,0.4133,0.4911,0.4134,0.5011,0.4208,0.457,0.42,0.4561
second_digit,train,ag_news,0.4864,0.4851,0.5044,0.5593,0.4908,0.5596,0.4895,0.4875,0.4866,0.4849
sentiment,train,next_number_digits,0.5848,0.586,0.4237,0.5151,0.409,0.5144,0.5831,0.5836,0.5842,0.5847
singular-plural,heldout,compound_first,0.5126,0.5191,0.4317,0.5081,0.445,0.517,0.512,0.5198,0.5113,0.5188
singular_or_plural,train,capitalize,0.5475,0.5186,0.4181,0.4949,0.4141,0.4901,0.5481,0.5206,0.5469,0.5228
smaller_of_pair,train,ends_with_ing,0.5119,0.5294,0.4927,0.5581,0.4833,0.5582,0.5129,0.5308,0.5124,0.5301
spanish-english,train,plural_to_singular,0.5939,0.5897,0.593,0.5969,0.5952,0.5967,0.5969,0.5937,0.5966,0.5927
spanish_noun_gender,train,english-german,0.4936,0.4704,0.4229,0.5738,0.4273,0.5737,0.496,0.468,0.4964,0.4675
starts_with_vowel,heldout,park-country,0.4923,0.5144,0.387,0.4859,0.3819,0.4808,0.4875,0.5085,0.4868,0.5079
strip_prefix,train,person-sport,0.5608,0.559,0.5566,0.5709,0.5577,0.5699,0.5606,0.5588,0.5604,0.5588
synonym,train,person-instrument,0.5776,0.5627,0.5581,0.5566,0.5558,0.5542,0.5776,0.5628,0.5775,0.5626
third_person_to_base,train,iso_date_to_month,0.5588,0.5633,0.5474,0.5787,0.553,0.5787,0.5588,0.5635,0.5592,0.5641
times_five,train,lowercase_last_letter,0.3622,0.3512,0.3917,0.4508,0.3826,0.4515,0.3596,0.3464,0.3612,0.3482
titlecase_phrase,train,us-city-state,0.576,0.5395,0.5394,0.5461,0.5394,0.546,0.575,0.5388,0.5731,0.5374
uppercase_word,train,english-german,0.5047,0.4938,0.4361,0.5666,0.4538,0.5721,0.5044,0.4946,0.5049,0.4954
us-city-state,train,spanish-english,0.526,0.4926,0.3995,0.4374,0.4129,0.4423,0.5257,0.4924,0.5241,0.4906
verb_to_third_person,heldout,next_item,0.5429,0.5372,0.4747,0.5613,0.4864,0.5612,0.5431,0.5369,0.5429,0.5372
word_polarity,train,compound_first,0.5875,0.5729,0.4739,0.5423,0.4674,0.5367,0.5858,0.5807,0.5854,0.5799
