task,position,icl_index,token_role,layer,stable_rank,rank90,participation_ratio
english-french,icl01/pre,1,pre_label_token,8,10.568957399227495,96,39.843186905839666
english-german,icl01/pre,1,pre_label_token,8,11.141229195722287,99,41.82930029589394
english-spanish,icl01/pre,1,pre_label_token,8,10.41216631526361,98,39.563318598525015
lowercase_last_letter,icl01/pre,1,pre_label_token,8,9.607555523480926,85,35.517979981480465
national_parks,icl01/pre,1,pre_label_token,8,8.235512774925711,63,25.36366567116329
next_capital_letter,icl01/pre,1,pre_label_token,8,6.89653100696184,77,24.445727618188194
next_item,icl01/pre,1,pre_label_token,8,4.715195509463569,36,12.31184183675676
park-country,icl01/pre,1,pre_label_token,8,8.089817015607451,80,29.080129421950033
person-instrument,icl01/pre,1,pre_label_token,8,8.851061499130346,75,30.800224584600063
person-occupation,icl01/pre,1,pre_label_token,8,9.522687870747477,85,32.21903139754285
person-sport,icl01/pre,1,pre_label_token,8,7.178839275137597,65,25.108489399461433
present-past,icl01/pre,1,pre_label_token,8,10.098802912886141,65,31.9727443476431
prev_item,icl01/pre,1,pre_label_token,8,4.875509856535467,35,12.88390400543741
sentiment,icl01/pre,1,pre_label_token,8,6.28256982682605,76,21.505953584348468
singular-plural,icl01/pre,1,pre_label_token,8,9.061470843643402,60,29.4466029705792
antonym,icl01/pre,1,pre_label_token,8,10.062838885743156,96,38.032980977679536
capitalize,icl01/pre,1,pre_label_token,8,6.987737486644381,80,25.885792434923534
capitalize_first_letter,icl01/pre,1,pre_label_token,8,7.523794097755264,78,26.639523412321346
country-currency,icl01/pre,1,pre_label_token,8,4.312422049616827,48,13.700472597616246
landmark-country,icl01/pre,1,pre_label_token,8,8.699146014833715,81,30.276268875921215
lowercase_first_letter,icl01/pre,1,pre_label_token,8,8.61506214271145,81,32.85166422583469
product-company,icl01/pre,1,pre_label_token,8,9.145243788418542,65,27.007561835727643
synonym,icl01/pre,1,pre_label_token,8,11.08756207004813,96,39.602758563418845
word_length,icl01/pre,1,pre_label_token,8,6.814328567265661,77,24.51307293453314
ag_news,icl01/pre,1,pre_label_token,9,6.662337734062902,87,24.248155008310587
capitalize_last_letter,icl01/pre,1,pre_label_token,9,6.53344515330533,75,22.781031991048707
capitalize_second_letter,icl01/pre,1,pre_label_token,9,7.678704045987122,79,25.682863772523344
commonsense_qa,icl01/pre,1,pre_label_token,9,9.37959797021699,93,30.277971704621333
country-capital,icl01/pre,1,pre_label_token,9,5.022451810725157,50,16.550221547899252
english-french,icl01/pre,1,pre_label_token,9,10.157829384119184,95,37.49821867077517
english-german,icl01/pre,1,pre_label_token,9,10.318969171383316,97,38.60944134302396
english-spanish,icl01/pre,1,pre_label_token,9,10.091831713145686,97,37.26569491513309
lowercase_last_letter,icl01/pre,1,pre_label_token,9,9.494369548052461,86,35.91927426666439
national_parks,icl01/pre,1,pre_label_token,9,7.842840257407269,62,24.608919216670436
next_capital_letter,icl01/pre,1,pre_label_token,9,6.914347542494753,76,24.238966002752313
next_item,icl01/pre,1,pre_label_token,9,4.902672631281887,35,12.458209709342666
park-country,icl01/pre,1,pre_label_token,9,8.414882339570326,79,29.140675407604977
person-instrument,icl01/pre,1,pre_label_token,9,9.393712596248918,75,31.076188940574767
person-occupation,icl01/pre,1,pre_label_token,9,10.206802872905769,84,32.83320467536736
person-sport,icl01/pre,1,pre_label_token,9,7.011257159380405,65,24.524949177709775
present-past,icl01/pre,1,pre_label_token,9,9.395136155314628,63,29.178987977946118
prev_item,icl01/pre,1,pre_label_token,9,5.071368146998956,35,13.044350125972006
sentiment,icl01/pre,1,pre_label_token,9,7.110078999359383,79,24.152346641370865
singular-plural,icl01/pre,1,pre_label_token,9,8.45913017272758,58,27.224642338622274
antonym,icl01/pre,1,pre_label_token,9,8.442758538871466,93,32.70818245389635
capitalize,icl01/pre,1,pre_label_token,9,7.132969840621344,79,25.150591688264985
capitalize_first_letter,icl01/pre,1,pre_label_token,9,7.98859351951604,77,26.985511296573545
country-currency,icl01/pre,1,pre_label_token,9,4.3542201114262715,48,13.963539762656549
landmark-country,icl01/pre,1,pre_label_token,9,8.182534860117151,81,29.503057992488745
lowercase_first_letter,icl01/pre,1,pre_label_token,9,8.467308972279476,82,32.83448941227579
product-company,icl01/pre,1,pre_label_token,9,9.17572071359266,65,26.999728820115003
synonym,icl01/pre,1,pre_label_token,9,9.365099690073237,94,35.1010020021086
word_length,icl01/pre,1,pre_label_token,9,6.895562223267541,76,24.12851849188677
ag_news,icl01/pre,1,pre_label_token,10,6.533544563785759,89,24.660037244596108
capitalize_last_letter,icl01/pre,1,pre_label_token,10,6.781823823308262,76,23.87249998828331
capitalize_second_letter,icl01/pre,1,pre_label_token,10,7.8684190374135,80,26.90364638743134
commonsense_qa,icl01/pre,1,pre_label_token,10,10.83751208496644,97,34.66613100238726
country-capital,icl01/pre,1,pre_label_token,10,5.336940438699052,49,17.67255246358475
english-french,icl01/pre,1,pre_label_token,10,9.515383576721003,97,37.49783296032919
english-german,icl01/pre,1,pre_label_token,10,9.8469024159347,99,38.99281633334359
english-spanish,icl01/pre,1,pre_label_token,10,9.724820592855796,99,37.86856238100191
lowercase_last_letter,icl01/pre,1,pre_label_token,10,9.763525818846167,88,37.82204401631541
national_parks,icl01/pre,1,pre_label_token,10,7.922238850094158,64,25.557634515713016
next_capital_letter,icl01/pre,1,pre_label_token,10,6.765848056352936,76,24.245434657674682
next_item,icl01/pre,1,pre_label_token,10,5.198602531471576,37,13.282809602779707
park-country,icl01/pre,1,pre_label_token,10,9.650187509789085,82,32.81395289586233
person-instrument,icl01/pre,1,pre_label_token,10,10.14375012839808,76,31.98267310329973
person-occupation,icl01/pre,1,pre_label_token,10,10.673740089148602,86,34.35211699911996
person-sport,icl01/pre,1,pre_label_token,10,6.948225837103124,66,24.512024408872342
present-past,icl01/pre,1,pre_label_token,10,9.187193971225621,64,30.019247258979494
prev_item,icl01/pre,1,pre_label_token,10,5.385573958775055,37,13.88061136087407
sentiment,icl01/pre,1,pre_label_token,10,9.413698146149594,84,30.946097617919335
singular-plural,icl01/pre,1,pre_label_token,10,8.494454814235842,58,27.031004578369398
antonym,icl01/pre,1,pre_label_token,10,7.750750071880473,95,31.2148026887865
capitalize,icl01/pre,1,pre_label_token,10,7.230628299303406,80,25.609646316483047
capitalize_first_letter,icl01/pre,1,pre_label_token,10,8.094861246321704,79,27.85563097206026
country-currency,icl01/pre,1,pre_label_token,10,4.579940448386203,48,14.838887304416703
landmark-country,icl01/pre,1,pre_label_token,10,8.177603039309258,83,31.151944815583253
lowercase_first_letter,icl01/pre,1,pre_label_token,10,8.602643299077991,84,34.53126606585829
product-company,icl01/pre,1,pre_label_token,10,9.17943383891839,68,27.69998448160966
synonym,icl01/pre,1,pre_label_token,10,8.569846500182507,95,33.9185484968293
word_length,icl01/pre,1,pre_label_token,10,6.861982530497425,77,24.68275864666836
ag_news,icl01/pre,1,pre_label_token,11,6.482434169402821,90,24.918413046285544
capitalize_last_letter,icl01/pre,1,pre_label_token,11,7.374578943872498,77,25.083354652248225
capitalize_second_letter,icl01/pre,1,pre_label_token,11,8.242912382435774,81,27.74194431454965
commonsense_qa,icl01/pre,1,pre_label_token,11,10.18320489635179,97,34.97186035139618
country-capital,icl01/pre,1,pre_label_token,11,5.6086235482186835,49,18.459720361465518
english-french,icl01/pre,1,pre_label_token,11,9.117616475971218,98,36.82377806547006
english-german,icl01/pre,1,pre_label_token,11,9.339805840796126,101,38.27306153732811
english-spanish,icl01/pre,1,pre_label_token,11,9.388062714452955,100,37.43426987457067
lowercase_last_letter,icl01/pre,1,pre_label_token,11,10.142365157997933,88,38.662088909630896
national_parks,icl01/pre,1,pre_label_token,11,7.516946317558328,64,24.358678916535375
next_capital_letter,icl01/pre,1,pre_label_token,11,6.859154818156143,77,24.731626314929528
next_item,icl01/pre,1,pre_label_token,11,5.287840629093842,37,13.293335292093627
park-country,icl01/pre,1,pre_label_token,11,9.8541196819341,80,32.27773346393308
person-instrument,icl01/pre,1,pre_label_token,11,9.998082150814815,76,30.681506422946452
person-occupation,icl01/pre,1,pre_label_token,11,10.567721244595432,86,33.81730058441808
person-sport,icl01/pre,1,pre_label_token,11,6.892562216737034,66,24.0032974859819
present-past,icl01/pre,1,pre_label_token,11,8.855773774246687,65,29.866619928991636
prev_item,icl01/pre,1,pre_label_token,11,5.551772491473488,37,14.047757566387823
sentiment,icl01/pre,1,pre_label_token,11,10.524125374916151,85,32.49550153676691
singular-plural,icl01/pre,1,pre_label_token,11,8.422088038426608,58,26.055756693296285
antonym,icl01/pre,1,pre_label_token,11,7.2395495403538295,97,29.722549615050138
capitalize,icl01/pre,1,pre_label_token,11,7.643318858991826,80,26.30374616188307
capitalize_first_letter,icl01/pre,1,pre_label_token,11,8.540298764656058,79,28.669938679332738
country-currency,icl01/pre,1,pre_label_token,11,4.69278208021191,48,15.24341031016865
landmark-country,icl01/pre,1,pre_label_token,11,8.130000946101632,83,30.62723891755115
lowercase_first_letter,icl01/pre,1,pre_label_token,11,8.84169472566802,84,35.36039235856818
product-company,icl01/pre,1,pre_label_token,11,8.959295900728115,68,26.857371733795254
synonym,icl01/pre,1,pre_label_token,11,8.153932531246769,97,33.077836408322455
word_length,icl01/pre,1,pre_label_token,11,7.108694730076062,78,25.473037797714447
ag_news,icl01/pre,1,pre_label_token,12,6.5453545173658325,91,25.104051517601047
capitalize_last_letter,icl01/pre,1,pre_label_token,12,7.485306720044642,77,25.173173719779825
capitalize_second_letter,icl01/pre,1,pre_label_token,12,8.174409511266479,81,27.424775506891383
commonsense_qa,icl01/pre,1,pre_label_token,12,10.157855882980408,99,36.15532305763467
country-capital,icl01/pre,1,pre_label_token,12,5.724244901853998,50,18.830200277916163
english-french,icl01/pre,1,pre_label_token,12,8.980647284474212,98,36.352942428057915
english-german,icl01/pre,1,pre_label_token,12,9.220969602181906,101,38.41657167811933
english-spanish,icl01/pre,1,pre_label_token,12,9.293791960148054,100,37.26728890869226
lowercase_last_letter,icl01/pre,1,pre_label_token,12,10.012405272768952,89,39.229452245117685
national_parks,icl01/pre,1,pre_label_token,12,7.1917433288998955,64,23.736022425537495
next_capital_letter,icl01/pre,1,pre_label_token,12,6.759531696698713,77,24.242575551494873
next_item,icl01/pre,1,pre_label_token,12,5.331697776249032,38,13.54452256784963
park-country,icl01/pre,1,pre_label_token,12,9.999789348139634,80,31.815618351193436
person-instrument,icl01/pre,1,pre_label_token,12,9.188674496653116,75,29.973415557531535
person-occupation,icl01/pre,1,pre_label_token,12,10.825836203799419,86,33.98571356420145
person-sport,icl01/pre,1,pre_label_token,12,6.939985359706051,65,23.7265956869251
present-past,icl01/pre,1,pre_label_token,12,8.227257023980975,65,28.849255221746933
prev_item,icl01/pre,1,pre_label_token,12,5.594957686605968,38,14.244824515841186
sentiment,icl01/pre,1,pre_label_token,12,10.659996101608924,87,32.93183932427184
singular-plural,icl01/pre,1,pre_label_token,12,8.109829940018525,57,25.40512836652189
antonym,icl01/pre,1,pre_label_token,12,6.945943376881853,96,28.383120272909196
capitalize,icl01/pre,1,pre_label_token,12,7.755560166382718,80,26.268961894396362
capitalize_first_letter,icl01/pre,1,pre_label_token,12,8.756192556138213,80,28.62112566535324
country-currency,icl01/pre,1,pre_label_token,12,4.67584483630654,48,15.22302817487929
landmark-country,icl01/pre,1,pre_label_token,12,8.010655206550883,83,30.280505167715848
lowercase_first_letter,icl01/pre,1,pre_label_token,12,8.858643879800617,85,35.5791502290422
product-company,icl01/pre,1,pre_label_token,12,8.99180649609416,69,26.70408649635895
synonym,icl01/pre,1,pre_label_token,12,7.797974825767735,97,31.798544400978294
word_length,icl01/pre,1,pre_label_token,12,7.067302704874964,78,25.13289739114572
ag_news,icl01/pre,1,pre_label_token,13,6.856861827687697,94,26.345003542302585
capitalize_last_letter,icl01/pre,1,pre_label_token,13,8.20916586771908,78,26.655032273228812
capitalize_second_letter,icl01/pre,1,pre_label_token,13,8.362043371884871,82,28.51137321997723
commonsense_qa,icl01/pre,1,pre_label_token,13,9.817682806798935,101,36.73971252536305
country-capital,icl01/pre,1,pre_label_token,13,6.819055917651713,49,22.162144008577254
english-french,icl01/pre,1,pre_label_token,13,9.50577092661938,99,38.0581117354352
english-german,icl01/pre,1,pre_label_token,13,9.535162070318055,103,39.70338981092932
english-spanish,icl01/pre,1,pre_label_token,13,9.871150472955339,103,39.497262389280536
lowercase_last_letter,icl01/pre,1,pre_label_token,13,10.410266356684497,89,40.05104140620987
national_parks,icl01/pre,1,pre_label_token,13,6.607513333828622,63,22.639501936487864
next_capital_letter,icl01/pre,1,pre_label_token,13,7.1970210706316955,79,25.76178203644115
next_item,icl01/pre,1,pre_label_token,13,5.565546988338976,37,13.998266304161186
park-country,icl01/pre,1,pre_label_token,13,10.584713562945838,82,36.032580529598235
person-instrument,icl01/pre,1,pre_label_token,13,8.879554919215591,75,30.782295186486035
person-occupation,icl01/pre,1,pre_label_token,13,11.373912832064905,86,36.29723691213285
person-sport,icl01/pre,1,pre_label_token,13,7.164386438621265,65,24.615270769806745
present-past,icl01/pre,1,pre_label_token,13,8.42632795605384,66,29.459303708922363
prev_item,icl01/pre,1,pre_label_token,13,5.7405526524743875,37,14.446164824250111
sentiment,icl01/pre,1,pre_label_token,13,10.932315684008364,88,34.2358061252065
singular-plural,icl01/pre,1,pre_label_token,13,8.661578929200488,58,26.43249921616066
antonym,icl01/pre,1,pre_label_token,13,7.037689440862795,97,28.898498588583752
capitalize,icl01/pre,1,pre_label_token,13,8.24192874790728,81,27.784509473179355
capitalize_first_letter,icl01/pre,1,pre_label_token,13,9.12684550169503,81,29.517016367348578
country-currency,icl01/pre,1,pre_label_token,13,5.673243639569455,48,18.534926147206935
landmark-country,icl01/pre,1,pre_label_token,13,8.946991090670474,83,33.85781548080582
lowercase_first_letter,icl01/pre,1,pre_label_token,13,9.041550240319935,84,35.706628753876274
product-company,icl01/pre,1,pre_label_token,13,8.680713683635657,68,26.045888468236146
synonym,icl01/pre,1,pre_label_token,13,7.89105671919007,98,32.41237609750406
word_length,icl01/pre,1,pre_label_token,13,7.48938501100222,80,25.979849746173926
ag_news,icl01/pre,1,pre_label_token,14,6.977910559587273,94,26.366931914178203
capitalize_last_letter,icl01/pre,1,pre_label_token,14,9.156682784311993,79,28.2682929452093
capitalize_second_letter,icl01/pre,1,pre_label_token,14,8.726904864588152,82,29.761824306682346
commonsense_qa,icl01/pre,1,pre_label_token,14,9.071554473052782,100,34.64020326330954
country-capital,icl01/pre,1,pre_label_token,14,7.142346517868838,49,22.90200065923824
english-french,icl01/pre,1,pre_label_token,14,11.137114971391636,99,41.54084968413103
english-german,icl01/pre,1,pre_label_token,14,11.007436442348602,103,43.592004961053625
english-spanish,icl01/pre,1,pre_label_token,14,11.441861972974582,103,43.09215943070263
lowercase_last_letter,icl01/pre,1,pre_label_token,14,11.24570844664812,89,41.75975012081496
national_parks,icl01/pre,1,pre_label_token,14,6.549186548678814,63,22.275534761012562
next_capital_letter,icl01/pre,1,pre_label_token,14,8.174406348656602,80,28.647085786707883
next_item,icl01/pre,1,pre_label_token,14,5.69045246711966,39,15.620483481960074
park-country,icl01/pre,1,pre_label_token,14,11.281069920455153,82,37.35624189364212
person-instrument,icl01/pre,1,pre_label_token,14,8.571191782007718,74,29.577659135283653
person-occupation,icl01/pre,1,pre_label_token,14,11.6164260087486,84,35.88127714880315
person-sport,icl01/pre,1,pre_label_token,14,7.401332826255002,64,23.794056887954643
present-past,icl01/pre,1,pre_label_token,14,8.449318641573369,65,29.14598583884701
prev_item,icl01/pre,1,pre_label_token,14,5.778888564799989,38,15.863012309154866
sentiment,icl01/pre,1,pre_label_token,14,10.302280855811949,88,33.08673503632121
singular-plural,icl01/pre,1,pre_label_token,14,8.712427312051986,57,28.2352025320834
antonym,icl01/pre,1,pre_label_token,14,7.345864621494515,96,29.89977504880859
capitalize,icl01/pre,1,pre_label_token,14,8.521771195254955,82,28.68236948662616
capitalize_first_letter,icl01/pre,1,pre_label_token,14,9.47382484506157,81,30.284044365625533
country-currency,icl01/pre,1,pre_label_token,14,5.982375100380362,48,19.451329805722953
landmark-country,icl01/pre,1,pre_label_token,14,8.810651051136977,83,33.82628506548684
lowercase_first_letter,icl01/pre,1,pre_label_token,14,9.29688630395913,84,36.339577636813935
product-company,icl01/pre,1,pre_label_token,14,8.214133184206394,66,24.167918955532812
synonym,icl01/pre,1,pre_label_token,14,8.449397607312177,97,33.98335587381803
word_length,icl01/pre,1,pre_label_token,14,7.988475054313325,80,26.94990729845831
ag_news,icl01/pre,1,pre_label_token,15,7.5167381612205615,93,27.26275841274543
capitalize_last_letter,icl01/pre,1,pre_label_token,15,8.537924484419548,79,27.650843976155542
capitalize_second_letter,icl01/pre,1,pre_label_token,15,8.106271351685068,83,28.669304010460824
commonsense_qa,icl01/pre,1,pre_label_token,15,8.48443155316032,100,32.13159722531213
country-capital,icl01/pre,1,pre_label_token,15,7.392654045458397,49,23.202463074463342
english-french,icl01/pre,1,pre_label_token,15,11.274323924377754,101,42.02144275359368
english-german,icl01/pre,1,pre_label_token,15,10.76525639266865,104,43.305409876220885
english-spanish,icl01/pre,1,pre_label_token,15,12.135748541540977,104,43.36859798863456
lowercase_last_letter,icl01/pre,1,pre_label_token,15,11.419989153699827,90,41.97373837293239
national_parks,icl01/pre,1,pre_label_token,15,6.7079713626406186,63,22.386825939332123
next_capital_letter,icl01/pre,1,pre_label_token,15,7.977941340879458,81,28.04452226854675
next_item,icl01/pre,1,pre_label_token,15,5.986035712873809,41,16.389489368535408
park-country,icl01/pre,1,pre_label_token,15,12.048358589757786,82,39.910797278357556
person-instrument,icl01/pre,1,pre_label_token,15,8.268678157167923,73,28.261032750313014
person-occupation,icl01/pre,1,pre_label_token,15,11.404276201228125,84,35.57243418225773
person-sport,icl01/pre,1,pre_label_token,15,7.5323669423060995,63,23.86837011723569
present-past,icl01/pre,1,pre_label_token,15,7.383311102457615,65,26.341894409119025
prev_item,icl01/pre,1,pre_label_token,15,6.196937848888202,40,16.57575488776706
sentiment,icl01/pre,1,pre_label_token,15,10.318035039630315,88,33.34599546456324
singular-plural,icl01/pre,1,pre_label_token,15,8.01799847932485,57,26.634996216233535
antonym,icl01/pre,1,pre_label_token,15,6.8155536206614515,97,27.777634896445498
capitalize,icl01/pre,1,pre_label_token,15,7.848250593284452,82,27.45956432918906
capitalize_first_letter,icl01/pre,1,pre_label_token,15,8.513406542156059,81,28.96003334361564
country-currency,icl01/pre,1,pre_label_token,15,6.354462422128087,48,20.382130449361217
landmark-country,icl01/pre,1,pre_label_token,15,9.146896400415278,83,34.06507045046536
lowercase_first_letter,icl01/pre,1,pre_label_token,15,9.206436448860403,85,36.25502778811136
product-company,icl01/pre,1,pre_label_token,15,7.591508299438442,66,23.031548248049297
synonym,icl01/pre,1,pre_label_token,15,7.789525434988949,98,31.787538987616397
word_length,icl01/pre,1,pre_label_token,15,7.593251320583194,81,26.177634300072715
ag_news,icl01/pre,1,pre_label_token,16,7.767675355185632,93,27.734809100733898
capitalize_last_letter,icl01/pre,1,pre_label_token,16,8.177385254515883,78,26.41710544976246
capitalize_second_letter,icl01/pre,1,pre_label_token,16,7.814978206171561,81,27.294329581746798
commonsense_qa,icl01/pre,1,pre_label_token,16,8.669973519488938,99,31.692991404248954
country-capital,icl01/pre,1,pre_label_token,16,7.299273995632007,49,22.817876184134388
english-french,icl01/pre,1,pre_label_token,16,10.914642912881416,100,40.68981733483402
english-german,icl01/pre,1,pre_label_token,16,10.218929496899898,104,41.238199758910085
english-spanish,icl01/pre,1,pre_label_token,16,11.985045279545336,103,41.72029550958726
lowercase_last_letter,icl01/pre,1,pre_label_token,16,11.14725655076015,89,40.599547458782695
national_parks,icl01/pre,1,pre_label_token,16,6.397291421666887,62,21.20537907829588
next_capital_letter,icl01/pre,1,pre_label_token,16,7.885241885579323,79,27.148600200936933
next_item,icl01/pre,1,pre_label_token,16,5.926743297600963,40,16.27544600277067
park-country,icl01/pre,1,pre_label_token,16,11.587794240118235,81,38.43427610045339
person-instrument,icl01/pre,1,pre_label_token,16,7.765792291646527,72,25.898806440486144
person-occupation,icl01/pre,1,pre_label_token,16,10.779535106135082,82,33.84512506001692
person-sport,icl01/pre,1,pre_label_token,16,7.371773410124601,62,22.78613880234894
present-past,icl01/pre,1,pre_label_token,16,6.781617405197174,64,24.012844776555404
prev_item,icl01/pre,1,pre_label_token,16,6.3067589138908815,40,16.475369170695007
sentiment,icl01/pre,1,pre_label_token,16,10.269081564750676,87,33.183536240028594
singular-plural,icl01/pre,1,pre_label_token,16,7.514577640369946,56,24.999033868075898
antonym,icl01/pre,1,pre_label_token,16,6.6488258209798445,96,26.560705383387422
capitalize,icl01/pre,1,pre_label_token,16,7.660922921635352,81,26.319292171430398
capitalize_first_letter,icl01/pre,1,pre_label_token,16,8.195250123268403,80,27.495844791515623
country-currency,icl01/pre,1,pre_label_token,16,6.207977798400682,48,19.79233517511594
landmark-country,icl01/pre,1,pre_label_token,16,8.931739692940077,83,33.00446128264351
lowercase_first_letter,icl01/pre,1,pre_label_token,16,8.9999001679184,84,35.38328121439489
product-company,icl01/pre,1,pre_label_token,16,7.748916953182878,65,23.178708828049857
synonym,icl01/pre,1,pre_label_token,16,7.3808490195517695,97,29.4865688073381
word_length,icl01/pre,1,pre_label_token,16,7.495684972775552,80,25.34818805030981
ag_news,icl01/pre,1,pre_label_token,17,8.47843941784702,94,29.946944801283095
capitalize_last_letter,icl01/pre,1,pre_label_token,17,8.67309643599669,80,28.29304626633617
capitalize_second_letter,icl01/pre,1,pre_label_token,17,8.40384593418924,83,29.771208438880002
commonsense_qa,icl01/pre,1,pre_label_token,17,8.43071594948704,98,29.31647821747498
country-capital,icl01/pre,1,pre_label_token,17,8.983942313882908,50,27.735474574414255
english-french,icl01/pre,1,pre_label_token,17,11.3246981891458,100,41.57731069061006
english-german,icl01/pre,1,pre_label_token,17,10.294868860000715,104,41.721963982410365
english-spanish,icl01/pre,1,pre_label_token,17,12.605415680529518,104,42.77226052491778
lowercase_last_letter,icl01/pre,1,pre_label_token,17,11.92153953956625,90,42.59531354132657
national_parks,icl01/pre,1,pre_label_token,17,7.385634986614568,64,26.345394444843205
next_capital_letter,icl01/pre,1,pre_label_token,17,8.561646617870117,82,29.77248761880452
next_item,icl01/pre,1,pre_label_token,17,6.133468011607124,41,17.20809672841791
