token_role,task,task_group,point_type,x_fv_pc1_raw_dot,y_activation_pc1_raw_dot,prompt_index,query_source_index,query_input,query_output,demo_source_index,demo_input,demo_output,token_position,token_text,token_label
pre_label_token,national_parks,train,activation,-1.2029856443405151,-18.041772842407227,14,297,Ocmulgee Mounds National Historical Park,Georgia,57,Chesapeake and Ohio Canal National Historical Park,Maryland,143,:,predictive_token
pre_label_token,national_parks,train,activation,-0.5695459842681885,-17.293642044067383,15,53,Steamtown National Historic Site,Pennsylvania,35,Oregon Caves National Monument and Preserve,Oregon,143,:,predictive_token
pre_label_token,national_parks,train,activation,-0.6669603586196899,-18.178443908691406,16,10,Fort Larned National Historic Site,Kansas,248,River Raisin National Battlefield Park,Michigan,137,:,predictive_token
pre_label_token,national_parks,train,activation,0.12189984321594238,-17.95049476623535,17,16,Carl Sandburg Home National Historic Site,North Carolina,10,Fort Larned National Historic Site,Kansas,142,:,predictive_token
pre_label_token,national_parks,train,activation,-1.58848237991333,-19.01573371887207,18,313,World War I Memorial,Washington DC,186,Natchez National Historical Park,Mississippi,141,:,predictive_token
pre_label_token,national_parks,train,activation,-3.130340099334717,-20.665325164794922,19,69,Eleanor Roosevelt National Historic Site,New York,85,Florissant Fossil Beds National Monument,Colorado,161,:,predictive_token
pre_label_token,national_parks,train,activation,0.6734516620635986,-17.241716384887695,20,71,Voyageurs National Park,Minnesota,223,Ninety Six National Historic Site,South Carolina,142,:,predictive_token
pre_label_token,national_parks,train,activation,-2.288417339324951,-18.441280364990234,21,202,Cape Lookout National Seashore,North Carolina,76,Vicksburg National Military Park,Mississippi Louisiana,135,:,predictive_token
pre_label_token,national_parks,train,activation,-2.542205333709717,-19.507272720336914,22,144,Hopewell Culture National Historical Park,Ohio,38,Amistad National Recreation Area,Texas,136,:,predictive_token
pre_label_token,national_parks,train,activation,-0.48759007453918457,-16.48038101196289,23,250,African Burial Ground National Monument,New York,135,Mammoth Cave National Park,Kentucky,141,:,predictive_token
pre_label_token,national_parks,train,activation,-0.18972492218017578,-15.305274963378906,24,245,Yellowstone National Park,Idaho,113,Glacier National Park,Montana,131,:,predictive_token
pre_label_token,national_parks,train,activation,-1.068642258644104,-18.016132354736328,25,226,Medgar and Myrlie Evers Home National Monument,Mississippi,55,Tallgrass Prairie National Preserve,Kansas,137,:,predictive_token
pre_label_token,national_parks,train,activation,0.660717248916626,-18.601463317871094,26,60,Aztec Ruins National Monument,New Mexico,205,Pu'uhonua O Honaunau National Historical Park,Hawaii,147,:,predictive_token
pre_label_token,national_parks,train,activation,-1.1203632354736328,-18.33704376220703,27,34,Harpers Ferry National Historical Park,West Virginia,137,Minute Man National Historical Park,Massachusetts,146,:,predictive_token
pre_label_token,national_parks,train,activation,-1.8178151845932007,-18.485919952392578,28,28,Lassen Volcanic National Park,California,273,Lyndon B. Johnson National Historical Park,Texas,149,:,predictive_token
pre_label_token,national_parks,train,activation,-1.3535650968551636,-19.398601531982422,29,213,Channel Islands National Park,California,108,Fort Frederica National Monument,Georgia,131,:,predictive_token
pre_label_token,national_parks,train,activation,-1.159002661705017,-16.86481475830078,30,11,Antietam National Battlefield,Maryland,44,Shenandoah National Park,Virginia,144,:,predictive_token
pre_label_token,national_parks,train,activation,-2.4854583740234375,-20.572376251220703,31,255,Walnut Canyon National Monument,Arizona,29,Bighorn Canyon National Recreation Area,Montana,141,:,predictive_token
pre_label_token,national_parks,train,activation,-1.2680516242980957,-19.013368606567383,32,209,Rock Creek Park,Washington DC,125,William Howard Taft National Historic Site,Ohio,155,:,predictive_token
pre_label_token,national_parks,train,activation,-1.1277923583984375,-18.46646499633789,33,239,Boston Harbor Islands National Recreation Area,Massachusetts,288,Martin Van Buren National Historic Site,New York,135,:,predictive_token
pre_label_token,national_parks,train,activation,-0.14569306373596191,-17.045106887817383,34,295,Crater Lake National Park,Oregon,275,Assateague Island National Seashore,Maryland,137,:,predictive_token
pre_label_token,national_parks,train,activation,-3.8813529014587402,-20.13945960998535,35,249,Chiricahua National Monument,Arizona,311,Gateway National Recreation Area,New Jersey,137,:,predictive_token
pre_label_token,national_parks,train,activation,-1.8496813774108887,-20.263147354125977,36,74,Thomas Edison National Historical Park,New Jersey,95,Minidoka National Historic Site,Idaho,138,:,predictive_token
pre_label_token,national_parks,train,activation,-2.0005106925964355,-18.108631134033203,37,304,Natchez Trace Parkway,Mississippi,167,Harry S Truman National Historic Site,Missouri,139,:,predictive_token
pre_label_token,national_parks,train,activation,0.07991588115692139,-15.640992164611816,38,24,Monocacy National Battlefield,Maryland,168,Dinosaur National Monument,Utah,139,:,predictive_token
pre_label_token,national_parks,train,activation,-0.341841459274292,-16.938621520996094,39,288,Martin Van Buren National Historic Site,New York,191,Cabrillo National Monument,California,137,:,predictive_token
pre_label_token,national_parks,train,activation,-0.7635574340820312,-19.466896057128906,40,300,Hovenweep National Monument,Colorado,36,Friendship Hill National Historic Site,Pennsylvania,143,:,predictive_token
pre_label_token,national_parks,train,activation,-0.06896352767944336,-18.897335052490234,41,232,James A. Garfield National Historic Site,Ohio,36,Friendship Hill National Historic Site,Pennsylvania,137,:,predictive_token
pre_label_token,national_parks,train,activation,-0.9441444873809814,-18.49098777770996,42,45,Lowell National Historical Park,Massachusetts,221,Saratoga National Historical Park,New York,139,:,predictive_token
pre_label_token,national_parks,train,activation,-1.944440245628357,-20.593124389648438,43,153,Carter G. Woodson Home National Historic Site,Washington DC,66,Lyndon Baines Johnson Memorial Grove on the Potomac,Washington DC,137,:,predictive_token
pre_label_token,national_parks,train,activation,-0.9927349090576172,-18.5681209564209,44,311,Gateway National Recreation Area,New Jersey,261,Whiskeytown-Shasta-Trinity National Recreation Area,California,144,:,predictive_token
pre_label_token,national_parks,train,activation,-0.43379807472229004,-16.70592498779297,45,49,Castillo de San Marcos National Monument,Florida,234,Gateway National Recreation Area,New York,138,:,predictive_token
pre_label_token,national_parks,train,activation,-1.0373215675354004,-19.067882537841797,46,243,Wupatki National Monument,Arizona,275,Assateague Island National Seashore,Maryland,136,:,predictive_token
pre_label_token,national_parks,train,activation,-0.3430910110473633,-17.3958797454834,47,50,Pipestone National Monument,Minnesota,14,Blackstone River Valley National Historical Park,Rhode Island,137,:,predictive_token
pre_label_token,national_parks,train,activation,0.028674960136413574,-18.884971618652344,48,158,Piscataway Park,Maryland,196,Saugus Iron Works National Historic Site,Massachusetts,139,:,predictive_token
pre_label_token,national_parks,train,activation,-0.5400533676147461,-18.991220474243164,49,251,Rio Grande Wild and Scenic River,Texas,171,Kings Mountain National Military Park,South Carolina,133,:,predictive_token
pre_label_token,national_parks,train,activation,-1.1655970811843872,-15.436589241027832,50,206,Castle Mountains National Monument,California,245,Yellowstone National Park,Idaho,146,:,predictive_token
pre_label_token,national_parks,train,activation,0.9279792308807373,-17.225374221801758,51,191,Cabrillo National Monument,California,240,Lewis and Clark National Historical Park,Oregon,134,:,predictive_token
pre_label_token,national_parks,train,activation,0.015434741973876953,-19.012828826904297,52,283,Niobrara National Scenic River,Nebraska,278,Thomas Stone National Historic Site,Maryland,138,:,predictive_token
pre_label_token,national_parks,train,activation,-0.7172912359237671,-19.046749114990234,53,227,Fort Union Trading Post National Historic Site,Montana,223,Ninety Six National Historic Site,South Carolina,136,:,predictive_token
pre_label_token,national_parks,train,activation,0.40082359313964844,-16.84116554260254,54,150,Hawaii Volcanoes National Park,Hawaii,101,Lake Mead National Recreation Area,Nevada,152,:,predictive_token
pre_label_token,national_parks,train,activation,-0.3500344753265381,-19.260814666748047,55,196,Saugus Iron Works National Historic Site,Massachusetts,165,Fort Davis National Historic Site,Texas,147,:,predictive_token
pre_label_token,national_parks,train,activation,-2.542881965637207,-17.414857864379883,56,183,Hovenweep National Monument,Utah,306,Yellowstone National Park,Montana,139,:,predictive_token
pre_label_token,national_parks,train,activation,-0.35095345973968506,-18.104318618774414,57,107,Fort Union National Monument,New Mexico,146,Cedar Breaks National Monument,Utah,140,:,predictive_token
pre_label_token,national_parks,train,activation,-0.6253154277801514,-18.558086395263672,58,314,Rocky Mountain National Park,Colorado,139,Homestead National Historical Park,Nebraska,141,:,predictive_token
pre_label_token,national_parks,train,activation,0.8675007820129395,-16.89156723022461,59,237,Navajo National Monument,Arizona,123,Lake Chelan National Recreation Area,Washington,146,:,predictive_token
pre_label_token,national_parks,train,activation,-2.4268856048583984,-17.926490783691406,60,95,Minidoka National Historic Site,Idaho,231,Pennsylvania Avenue National Historic Site,Washington DC,135,:,predictive_token
pre_label_token,national_parks,train,activation,-2.0097532272338867,-18.535648345947266,61,210,Aniakchak National Monument,Alaska,246,Tonto National Monument,Arizona,126,:,predictive_token
pre_label_token,national_parks,train,activation,-2.7107748985290527,-20.663631439208984,62,83,Chickamauga & Chattanooga National Military Park,Tennessee,128,Home of Franklin D. Roosevelt National Historic Site,New York,133,:,predictive_token
pre_label_token,national_parks,train,activation,0.08254671096801758,-17.852712631225586,63,137,Minute Man National Historical Park,Massachusetts,189,Moores Creek National Battlefield,North Carolina,142,:,predictive_token
pre_label_token,national_parks,train,activation,-0.31882667541503906,-17.784494400024414,64,269,Washington Monument,Washington DC,272,Arkansas Post National Memorial,Arkansas,133,:,predictive_token
pre_label_token,national_parks,train,activation,0.24179911613464355,-18.577266693115234,65,120,Fort Union Trading Post National Historic Site,North Dakota,175,Obed Wild and Scenic River,Tennessee,137,:,predictive_token
pre_label_token,national_parks,train,activation,-1.4564886093139648,-16.76531410217285,66,194,Fire Island National Seashore,New York,220,Natchez Trace Parkway,Tennessee,130,:,predictive_token
pre_label_token,national_parks,train,activation,-1.8804583549499512,-19.262523651123047,67,109,Lincoln Home National Historic Site,Illinois,228,San Juan Island National Historical Park,Washington,147,:,predictive_token
pre_label_token,national_parks,train,activation,-0.9772689342498779,-18.255653381347656,68,25,Rosie the Riveter World War II Home Front National Historical Park,California,12,Wolf Trap National Park for the Performing Arts,Virginia,150,:,predictive_token
pre_label_token,national_parks,train,activation,-1.4193356037139893,-16.297626495361328,69,113,Glacier National Park,Montana,306,Yellowstone National Park,Montana,130,:,predictive_token
pre_label_token,national_parks,train,activation,-0.8404254913330078,-17.919828414916992,70,197,Ebey's Landing National Historical Reserve,Washington,51,Ozark National Scenic Riverways,Missouri,134,:,predictive_token
pre_label_token,national_parks,train,activation,-0.2362813949584961,-17.107662200927734,71,93,Kobuk Valley National Park,Alaska,309,John Muir National Historic Site,California,141,:,predictive_token
pre_label_token,national_parks,train,activation,-1.272682785987854,-18.631593704223633,72,265,San Juan National Historic Site,Puerto Rico,158,Piscataway Park,Maryland,142,:,predictive_token
pre_label_token,national_parks,train,activation,0.19017362594604492,-17.076522827148438,73,172,Mount Rushmore National Memorial,South Dakota,43,Pu'ukohola Heiau National Historic Site,Hawaii,138,:,predictive_token
pre_label_token,national_parks,train,activation,-2.1137609481811523,-17.15894889831543,74,43,Pu'ukohola Heiau National Historic Site,Hawaii,289,Boston National Historical Park,Massachusetts,141,:,predictive_token
pre_label_token,national_parks,train,activation,-0.4670372009277344,-18.292755126953125,75,61,Sand Creek Massacre National Historic Site,Colorado,184,Big Hole National Battlefield,Montana,134,:,predictive_token
pre_label_token,national_parks,train,activation,-2.3651034832000732,-20.342506408691406,76,4,Gulf Islands National Seashore,Mississippi,162,Wrangell-St. Elias National Park,Alaska,143,:,predictive_token
pre_label_token,national_parks,train,activation,-1.2122312784194946,-17.597240447998047,77,267,Honouliuli National Historic Site,Hawaii,184,Big Hole National Battlefield,Montana,135,:,predictive_token
pre_label_token,national_parks,train,activation,-0.9906141757965088,-19.510726928710938,78,94,Glen Canyon National Recreation Area,Arizona,236,Cumberland Gap National Historical Park,Kentucky,141,:,predictive_token
pre_label_token,national_parks,train,activation,-0.08067107200622559,-17.20600128173828,79,181,Manhattan Project National Historical Park,Tennessee,195,Valley Forge National Historical Park,Pennsylvania,134,:,predictive_token
pre_label_token,national_parks,train,activation,-0.3382139205932617,-15.08319091796875,80,220,Natchez Trace Parkway,Tennessee,97,Hampton National Historic Site,Maryland,137,:,predictive_token
pre_label_token,national_parks,train,activation,-1.6914172172546387,-19.767179489135742,81,54,Lewis and Clark National Historical Park,Washington,85,Florissant Fossil Beds National Monument,Colorado,142,:,predictive_token
pre_label_token,national_parks,train,activation,1.1229044198989868,-16.738304138183594,82,22,Effigy Mounds National Monument,Iowa,182,Fort Vancouver National Historic Site,Oregon,143,:,predictive_token
pre_label_token,national_parks,train,activation,0.13239526748657227,-15.96849250793457,83,26,Wilson's Creek National Battlefield,Missouri,135,Mammoth Cave National Park,Kentucky,128,:,predictive_token
pre_label_token,national_parks,train,activation,-0.23414766788482666,-17.783863067626953,84,39,Big Bend National Park,Texas,167,Harry S Truman National Historic Site,Missouri,127,:,predictive_token
pre_label_token,national_parks,train,activation,-0.16763520240783691,-16.27370262145996,85,277,John D. Rockefeller Jr. Memorial Parkway,Wyoming,138,Pecos National Historical Park,New Mexico,137,:,predictive_token
pre_label_token,national_parks,train,activation,-0.3586270809173584,-18.777185440063477,86,27,Bryce Canyon National Park,Utah,257,Castle Clinton National Monument,New York,130,:,predictive_token
pre_label_token,national_parks,train,activation,-0.0669853687286377,-17.19672203063965,87,281,Sunset Crater Volcano National Monument,Arizona,94,Glen Canyon National Recreation Area,Arizona,140,:,predictive_token
pre_label_token,national_parks,train,activation,-0.2204747200012207,-18.261276245117188,88,208,Kennesaw Mountain National Battlefield Park,Georgia,128,Home of Franklin D. Roosevelt National Historic Site,New York,152,:,predictive_token
pre_label_token,national_parks,train,activation,-1.048533320426941,-15.432438850402832,89,30,Cuyahoga Valley National Park,Ohio,0,Olympic National Park,Washington,139,:,predictive_token
pre_label_token,national_parks,train,activation,-1.9538899660110474,-20.626956939697266,90,155,Theodore Roosevelt Inaugural National Historic Site,New York,161,Coronado National Memorial,Arizona,136,:,predictive_token
pre_label_token,national_parks,train,activation,-1.9887722730636597,-18.46070671081543,91,234,Gateway National Recreation Area,New York,253,Badlands National Park,South Dakota,140,:,predictive_token
pre_label_token,national_parks,train,activation,0.2305736541748047,-18.013273239135742,92,284,El Morro National Monument,New Mexico,129,Perry's Victory and International Peace Memorial,Ohio,132,:,predictive_token
pre_label_token,national_parks,train,activation,-0.9677506685256958,-18.51348876953125,93,19,George Washington Carver National Monument,Missouri,271,Morristown National Historical Park,New Jersey,144,:,predictive_token
pre_label_token,national_parks,train,activation,-1.1012582778930664,-16.972400665283203,94,171,Kings Mountain National Military Park,South Carolina,8,Congaree National Park,South Carolina,133,:,predictive_token
pre_label_token,national_parks,train,activation,-0.6213631629943848,-18.13787078857422,95,177,Theodore Roosevelt Birthplace National Historic Site,New York,225,Grand Portage National Monument,Minnesota,136,:,predictive_token
pre_label_token,national_parks,train,activation,-0.603968620300293,-17.36343002319336,96,161,Coronado National Memorial,Arizona,166,Washita Battlefield National Historic Site,Oklahoma,141,:,predictive_token
pre_label_token,national_parks,train,activation,0.41185426712036133,-16.417844772338867,97,205,Pu'uhonua O Honaunau National Historical Park,Hawaii,15,First Ladies National Historic Site,Ohio,139,:,predictive_token
pre_label_token,national_parks,train,activation,-0.06027078628540039,-18.506546020507812,98,256,Big South Fork National River and Recreation Area,Tennessee,250,African Burial Ground National Monument,New York,142,:,predictive_token
pre_label_token,national_parks,train,activation,-1.743565559387207,-19.98879623413086,99,131,White House and President's Park,Washington DC,106,Big Thicket National Preserve,Texas,134,:,predictive_token
pre_label_token,national_parks,train,activation,-0.17650580406188965,-17.947092056274414,100,294,Manhattan Project National Historical Park,Washington,221,Saratoga National Historical Park,New York,144,:,predictive_token
pre_label_token,national_parks,train,activation,-0.9029433727264404,-18.017932891845703,101,13,Craters of the Moon National Monument,Idaho,173,Chesapeake and Ohio Canal National Historical Park,Washington DC,135,:,predictive_token
pre_label_token,national_parks,train,activation,0.5978794097900391,-16.35692596435547,102,212,Ford's Theatre National Historic Site,Washington DC,310,First State National Historical Park,Delaware,151,:,predictive_token
pre_label_token,national_parks,train,activation,0.628487229347229,-16.84718132019043,103,18,Biscayne National Park,Florida,143,Padre Island National Seashore,Texas,147,:,predictive_token
pre_label_token,national_parks,train,activation,-0.3817629814147949,-17.458898544311523,104,268,Chickasaw National Recreation Area,Oklahoma,97,Hampton National Historic Site,Maryland,135,:,predictive_token
pre_label_token,national_parks,train,activation,-0.04537510871887207,-17.175575256347656,105,125,William Howard Taft National Historic Site,Ohio,42,Fort Bowie National Historic Site,Arizona,136,:,predictive_token
pre_label_token,national_parks,train,activation,-2.303440570831299,-17.874351501464844,106,17,Pictured Rocks National Lakeshore,Michigan,192,Saguaro National Park,Arizona,141,:,predictive_token
pre_label_token,national_parks,train,activation,-1.2606664896011353,-19.31313705444336,107,127,Clara Barton National Historic Site,Maryland,252,Black Canyon of the Gunnison National Park,Colorado,145,:,predictive_token
pre_label_token,national_parks,train,activation,-0.5226869583129883,-18.18909454345703,108,133,Missouri National Recreational River,Nebraska,235,Springfield Armory National Historic Site,Massachusetts,135,:,predictive_token
pre_label_token,national_parks,train,activation,-1.1803137063980103,-19.355037689208984,109,147,First State National Historical Park,Pennsylvania,242,Weir Farm National Historical Park,Connecticut,132,:,predictive_token
pre_label_token,national_parks,train,activation,-1.7056199312210083,-18.897789001464844,110,166,Washita Battlefield National Historic Site,Oklahoma,148,Cowpens National Battlefield,South Carolina,137,:,predictive_token
pre_label_token,national_parks,train,activation,-1.2665691375732422,-19.11004638671875,111,73,Yosemite National Park,California,141,Andersonville National Historic Site,Georgia,142,:,predictive_token
pre_label_token,national_parks,train,activation,-2.1288528442382812,-18.894203186035156,112,299,Chamizal National Memorial,Texas,265,San Juan National Historic Site,Puerto Rico,141,:,predictive_token
pre_label_token,national_parks,train,activation,-0.9632401466369629,-19.352989196777344,113,5,Everglades National Park,Florida,235,Springfield Armory National Historic Site,Massachusetts,127,:,predictive_token
pre_label_token,national_parks,train,activation,-1.6724605560302734,-21.523731231689453,114,148,Cowpens National Battlefield,South Carolina,153,Carter G. Woodson Home National Historic Site,Washington DC,140,:,predictive_token
pre_label_token,national_parks,train,activation,-1.2886857986450195,-19.534915924072266,115,185,Fort Monroe National Monument,Virginia,176,Sleeping Bear Dunes National Lakeshore,Michigan,142,:,predictive_token
pre_label_token,national_parks,train,activation,-1.1689441204071045,-19.695697784423828,116,184,Big Hole National Battlefield,Montana,100,Devils Postpile National Monument,California,136,:,predictive_token
pre_label_token,national_parks,train,activation,-1.261641025543213,-19.114816665649414,117,115,Marsh-Billings-Rockefeller National Historical Park,Vermont,283,Niobrara National Scenic River,Nebraska,146,:,predictive_token
pre_label_token,national_parks,train,activation,0.1988978385925293,-16.17049217224121,118,279,Poverty Point National Monument,Louisiana,91,"Martin Luther King, Jr. Memorial",Washington DC,142,:,predictive_token
pre_label_token,national_parks,train,activation,0.19381952285766602,-14.653035163879395,119,264,Cane River Creole National Historical Park,Louisiana,110,Yellowstone National Park,Wyoming,137,:,predictive_token
pre_label_token,national_parks,train,activation,0.9610470533370972,-15.741863250732422,120,65,Jean Lafitte National Historical Park and Preserve,Louisiana,48,Pea Ridge National Military Park,Arkansas,127,:,predictive_token
pre_label_token,national_parks,train,activation,-1.202408790588379,-18.869243621826172,121,218,Belmont-Paul Women's Equality National Monument,Washington DC,171,Kings Mountain National Military Park,South Carolina,142,:,predictive_token
pre_label_token,national_parks,train,activation,-0.25770115852355957,-17.529125213623047,122,247,Point Reyes National Seashore,California,257,Castle Clinton National Monument,New York,134,:,predictive_token
pre_label_token,national_parks,train,activation,-0.8449945449829102,-21.427518844604492,123,35,Oregon Caves National Monument and Preserve,Oregon,84,Charles Pinckney National Historic Site,South Carolina,131,:,predictive_token
pre_label_token,national_parks,train,activation,0.28212714195251465,-18.516563415527344,124,118,Buck Island Reef National Monument,Virgin Islands,226,Medgar and Myrlie Evers Home National Monument,Mississippi,145,:,predictive_token
pre_label_token,national_parks,train,activation,-1.5990959405899048,-18.410444259643555,125,90,Great Sand Dunes National Park,Colorado,312,Fort Donelson National Battlefield,Kentucky,138,:,predictive_token
pre_label_token,national_parks,train,activation,0.009392261505126953,-17.8433837890625,126,200,Little Bighorn Battlefield National Monument,Montana,256,Big South Fork National River and Recreation Area,Tennessee,149,:,predictive_token
pre_label_token,national_parks,train,activation,-0.547170877456665,-17.923175811767578,127,292,Whitman Mission National Historic Site,Washington,273,Lyndon B. Johnson National Historical Park,Texas,132,:,predictive_token
pre_label_token,national_parks,train,activation,0.02571389451622963,-17.989030838012695,128,110,Yellowstone National Park,Wyoming,165,Fort Davis National Historic Site,Texas,139,:,predictive_token
pre_label_token,national_parks,train,activation,-0.4355895221233368,-16.96161651611328,129,129,Perry's Victory and International Peace Memorial,Ohio,112,Ste. Genevieve National Historical Park,Missouri,143,:,predictive_token
pre_label_token,national_parks,train,function_vector,-5.575368881225586,-7.865624904632568,,,,,,,,,,
pre_label_token,english-spanish,train,activation,14.030345916748047,20.639904022216797,0,2223,enjoyed,disfrutado,3613,promoted,promovido,108,:,predictive_token
pre_label_token,english-spanish,train,activation,16.97146224975586,25.488740921020508,1,1778,headquarters,sede,2937,requirements,requisitos,99,:,predictive_token
pre_label_token,english-spanish,train,activation,15.788179397583008,22.448705673217773,2,3551,graves,tumbas,378,museums,museos,101,:,predictive_token
pre_label_token,english-spanish,train,activation,17.583934783935547,26.154329299926758,3,1594,television,televisión,3159,loved,amado,110,:,predictive_token
pre_label_token,english-spanish,train,activation,15.967775344848633,23.151634216308594,4,55,techniques,técnicas,2762,hearts,corazones,105,:,predictive_token
pre_label_token,english-spanish,train,activation,15.705613136291504,27.844818115234375,5,2643,game,juego,3249,providing,proporcionando,102,:,predictive_token
pre_label_token,english-spanish,train,activation,16.22942543029785,24.43544578552246,6,1291,renewed,renovado,468,emigrants,emigrantes,105,:,predictive_token
pre_label_token,english-spanish,train,activation,14.257168769836426,21.947818756103516,7,2008,older,mayor,663,kilometers,kilómetros,102,:,predictive_token
pre_label_token,english-spanish,train,activation,16.494873046875,24.22602081298828,8,1911,manuscript,manuscrito,1513,twin,gemelo,105,:,predictive_token
pre_label_token,english-spanish,train,activation,14.164571762084961,20.327316284179688,9,464,marathon,maratón,2368,roads,carreteras,107,:,predictive_token
pre_label_token,english-spanish,train,activation,14.570330619812012,23.777936935424805,10,3032,arm,brazo,2651,mainly,principalmente,108,:,predictive_token
pre_label_token,english-spanish,train,activation,16.1549072265625,23.869577407836914,11,186,ruled,gobernado,1481,forest,bosque,106,:,predictive_token
pre_label_token,english-spanish,train,activation,14.852067947387695,20.461315155029297,12,816,ports,puertos,1667,aka,también conocido como,109,:,predictive_token
pre_label_token,english-spanish,train,activation,15.583195686340332,23.36073112487793,13,2494,iraq,Irak,3054,verse,verso,100,:,predictive_token
pre_label_token,english-spanish,train,activation,14.766580581665039,23.11983299255371,14,775,posting,publicación,969,iron,hierro,105,:,predictive_token
pre_label_token,english-spanish,train,activation,16.682418823242188,27.719375610351562,15,3298,exclusive,exclusivo,3558,vary,variar,103,:,predictive_token
pre_label_token,english-spanish,train,activation,16.39647102355957,26.19754409790039,16,3151,merit,mérito,2862,depends,depende,110,:,predictive_token
pre_label_token,english-spanish,train,activation,16.88028335571289,26.93134880065918,17,1978,nicknamed,apodado,2481,big,grande,107,:,predictive_token
pre_label_token,english-spanish,train,activation,16.53692626953125,24.882083892822266,18,1874,enrolled,inscrito,2062,participating,participando,100,:,predictive_token
pre_label_token,english-spanish,train,activation,16.049531936645508,26.031452178955078,19,723,trails,senderos,3571,organisation,organización,101,:,predictive_token
pre_label_token,english-spanish,train,activation,15.996920585632324,25.613954544067383,20,702,wednesday,miércoles,465,not,no,105,:,predictive_token
pre_label_token,english-spanish,train,activation,16.156105041503906,24.378414154052734,21,2058,complex,complejo,1432,signing,firma,105,:,predictive_token
pre_label_token,english-spanish,train,activation,14.294570922851562,20.241592407226562,22,2535,notice,aviso,2172,senate,senado,106,:,predictive_token
pre_label_token,english-spanish,train,activation,15.929819107055664,24.648550033569336,23,1669,employee,empleado,2457,layer,capa,110,:,predictive_token
pre_label_token,english-spanish,train,activation,15.140442848205566,23.037233352661133,24,383,paint,pintura,2826,fleet,flota,107,:,predictive_token
pre_label_token,english-spanish,train,activation,16.819019317626953,24.869518280029297,25,1141,marriage,matrimonio,111,ghost,fantasma,107,:,predictive_token
pre_label_token,english-spanish,train,activation,17.695587158203125,26.688228607177734,26,308,bulgarian,búlgaro,2872,noted,anotado,106,:,predictive_token
pre_label_token,english-spanish,train,activation,18.15425682067871,23.316326141357422,27,1976,graduating,graduando,1515,composers,compositores,107,:,predictive_token
pre_label_token,english-spanish,train,activation,15.389549255371094,26.798362731933594,28,1320,saints,santos,1439,send,enviar,106,:,predictive_token
pre_label_token,english-spanish,train,activation,16.146678924560547,26.262847900390625,29,3022,customers,clientes,884,done,hecho,108,:,predictive_token
pre_label_token,english-spanish,train,activation,15.908353805541992,26.568153381347656,30,3067,convinced,convencido,2652,excellence,excelencia,105,:,predictive_token
pre_label_token,english-spanish,train,activation,16.288816452026367,27.122722625732422,31,574,graphic,gráfico,3638,forces,fuerzas,107,:,predictive_token
