task,group,n_shots,mean_cos_own_L13,mean_cos_gm_L13,mean_delta_cos_L13,acc
country-capital,train,1,0.3377,0.2840,0.0537,0.5267
country-capital,train,2,0.3597,0.2835,0.0761,0.6000
country-capital,train,3,0.3764,0.2887,0.0878,0.7467
country-capital,train,4,0.3923,0.2924,0.0999,0.6733
country-capital,train,5,0.4021,0.2938,0.1083,0.7667
country-capital,train,6,0.4091,0.2947,0.1144,0.7400
day_after_textual_date,train,0,0.0279,0.2087,-0.1809,0.0000
day_after_textual_date,train,1,0.2771,0.3450,-0.0678,0.3933
day_after_textual_date,train,2,0.3498,0.3710,-0.0212,0.7067
day_after_textual_date,train,3,0.3661,0.3766,-0.0105,0.8600
day_after_textual_date,train,4,0.3817,0.3821,-0.0004,0.7867
day_after_textual_date,train,5,0.3952,0.3848,0.0104,0.9067
day_after_textual_date,train,6,0.4043,0.3863,0.0180,0.9333
ends_with_ing,heldout,0,0.2527,0.2671,-0.0144,0.0000
ends_with_ing,heldout,1,0.3698,0.3277,0.0421,0.1800
ends_with_ing,heldout,2,0.4136,0.3419,0.0717,0.4133
ends_with_ing,heldout,3,0.4333,0.3458,0.0875,0.4533
ends_with_ing,heldout,4,0.4462,0.3467,0.0995,0.4467
ends_with_ing,heldout,5,0.4554,0.3509,0.1045,0.4267
ends_with_ing,heldout,6,0.4625,0.3545,0.1079,0.4933
english-french,heldout,0,0.1824,0.2720,-0.0896,0.0000
english-french,heldout,1,0.3447,0.3203,0.0244,0.2400
english-french,heldout,2,0.3663,0.3092,0.0571,0.4600
english-french,heldout,3,0.3657,0.3101,0.0556,0.4933
english-french,heldout,4,0.3669,0.3091,0.0578,0.5000
english-french,heldout,5,0.3677,0.3088,0.0588,0.5467
english-french,heldout,6,0.3685,0.3095,0.0590,0.5133
english-italian,train,0,0.1671,0.2832,-0.1161,0.0000
english-italian,train,1,0.3202,0.3180,0.0022,0.1733
english-italian,train,2,0.3464,0.3133,0.0331,0.3800
english-italian,train,3,0.3439,0.3162,0.0277,0.4933
english-italian,train,4,0.3423,0.3141,0.0282,0.4467
english-italian,train,5,0.3428,0.3138,0.0290,0.4867
english-italian,train,6,0.3430,0.3143,0.0286,0.5267
english-portuguese,train,0,0.1907,0.2830,-0.0924,0.0000
english-portuguese,train,1,0.3414,0.3201,0.0213,0.2667
english-portuguese,train,2,0.3575,0.3141,0.0433,0.4000
english-portuguese,train,3,0.3566,0.3157,0.0409,0.4800
english-portuguese,train,4,0.3558,0.3158,0.0401,0.5400
english-portuguese,train,5,0.3561,0.3161,0.0400,0.5467
english-portuguese,train,6,0.3573,0.3166,0.0407,0.5800
english-spanish,train,0,0.2013,0.2666,-0.0653,0.0000
english-spanish,train,1,0.3669,0.3150,0.0519,0.2267
english-spanish,train,2,0.3811,0.3056,0.0755,0.4733
english-spanish,train,3,0.3825,0.3066,0.0759,0.4067
english-spanish,train,4,0.3820,0.3055,0.0765,0.5200
english-spanish,train,5,0.3823,0.3052,0.0771,0.6067
english-spanish,train,6,0.3828,0.3051,0.0776,0.5000
first_digit,heldout,0,0.1366,0.2005,-0.0639,0.0000
first_digit,heldout,1,0.3246,0.3100,0.0146,0.1200
first_digit,heldout,2,0.3851,0.3258,0.0593,0.1533
first_digit,heldout,3,0.4093,0.3328,0.0765,0.3133
first_digit,heldout,4,0.4276,0.3400,0.0877,0.3800
first_digit,heldout,5,0.4403,0.3459,0.0943,0.4733
first_digit,heldout,6,0.4483,0.3496,0.0988,0.4600
first_three_letters,train,0,0.1662,0.2737,-0.1075,0.0000
first_three_letters,train,1,0.3367,0.3369,-0.0002,0.1000
first_three_letters,train,2,0.3490,0.3305,0.0185,0.2200
first_three_letters,train,3,0.3444,0.3319,0.0124,0.2333
first_three_letters,train,4,0.3469,0.3328,0.0141,0.2933
first_three_letters,train,5,0.3577,0.3356,0.0221,0.2733
first_three_letters,train,6,0.3651,0.3380,0.0271,0.3533
french-english,heldout,0,0.3060,0.2825,0.0235,0.0067
french-english,heldout,1,0.4155,0.3412,0.0743,0.3733
french-english,heldout,2,0.4279,0.3455,0.0824,0.4600
french-english,heldout,3,0.4334,0.3503,0.0831,0.4933
french-english,heldout,4,0.4389,0.3546,0.0843,0.5933
french-english,heldout,5,0.4442,0.3582,0.0860,0.5667
french-english,heldout,6,0.4475,0.3607,0.0869,0.6267
french_noun_gender,train,0,0.1622,0.2808,-0.1186,0.0000
french_noun_gender,train,1,0.3229,0.3648,-0.0419,0.3667
french_noun_gender,train,2,0.3904,0.3846,0.0058,0.5133
french_noun_gender,train,3,0.4173,0.3886,0.0287,0.6067
french_noun_gender,train,4,0.4290,0.3922,0.0368,0.6000
french_noun_gender,train,5,0.4362,0.3958,0.0404,0.5867
french_noun_gender,train,6,0.4401,0.3981,0.0420,0.5733
german-english,train,0,0.2734,0.2594,0.0140,0.0000
german-english,train,1,0.4062,0.3302,0.0761,0.3133
german-english,train,2,0.4210,0.3361,0.0849,0.4667
german-english,train,3,0.4260,0.3422,0.0838,0.5667
german-english,train,4,0.4299,0.3456,0.0843,0.5800
german-english,train,5,0.4349,0.3492,0.0856,0.6333
german-english,train,6,0.4379,0.3513,0.0866,0.7000
german_noun_gender,train,0,0.1475,0.2494,-0.1019,0.0000
german_noun_gender,train,1,0.2889,0.3116,-0.0227,0.1133
german_noun_gender,train,2,0.3510,0.3383,0.0127,0.2333
german_noun_gender,train,3,0.3744,0.3482,0.0262,0.4133
german_noun_gender,train,4,0.3939,0.3563,0.0376,0.4000
german_noun_gender,train,5,0.4072,0.3624,0.0447,0.4733
german_noun_gender,train,6,0.4160,0.3663,0.0496,0.4600
gerund_to_base,heldout,0,0.1762,0.2553,-0.0792,0.0200
gerund_to_base,heldout,1,0.3327,0.3520,-0.0192,0.1800
gerund_to_base,heldout,2,0.3682,0.3649,0.0033,0.4733
gerund_to_base,heldout,3,0.3784,0.3702,0.0082,0.6067
gerund_to_base,heldout,4,0.3913,0.3768,0.0145,0.6400
gerund_to_base,heldout,5,0.4070,0.3862,0.0208,0.7400
gerund_to_base,heldout,6,0.4186,0.3930,0.0255,0.7600
gerund_to_past,train,0,0.1809,0.2570,-0.0761,0.0067
gerund_to_past,train,1,0.3433,0.3446,-0.0013,0.0867
gerund_to_past,train,2,0.3893,0.3631,0.0262,0.3200
gerund_to_past,train,3,0.4058,0.3703,0.0356,0.3733
gerund_to_past,train,4,0.4181,0.3752,0.0429,0.4667
gerund_to_past,train,5,0.4287,0.3800,0.0486,0.6267
gerund_to_past,train,6,0.4362,0.3835,0.0527,0.6267
hypernym_category,train,0,0.2308,0.2713,-0.0404,0.0000
hypernym_category,train,1,0.3732,0.3426,0.0306,0.0933
hypernym_category,train,2,0.3834,0.3417,0.0417,0.1133
hypernym_category,train,3,0.3956,0.3471,0.0486,0.1600
hypernym_category,train,4,0.4054,0.3519,0.0535,0.2467
hypernym_category,train,5,0.4159,0.3568,0.0592,0.2600
hypernym_category,train,6,0.4254,0.3616,0.0638,0.3800
initials_two_words,heldout,0,0.1452,0.2495,-0.1043,0.0000
initials_two_words,heldout,1,0.3405,0.3303,0.0103,0.0333
initials_two_words,heldout,2,0.3923,0.3334,0.0590,0.3333
initials_two_words,heldout,3,0.3943,0.3256,0.0687,0.4800
initials_two_words,heldout,4,0.4136,0.3268,0.0869,0.5533
initials_two_words,heldout,5,0.4323,0.3314,0.1009,0.6400
initials_two_words,heldout,6,0.4500,0.3334,0.1166,0.6267
iso_date_to_month,train,0,0.0781,0.2046,-0.1265,0.0000
iso_date_to_month,train,1,0.3103,0.3131,-0.0028,0.3467
iso_date_to_month,train,2,0.3660,0.3372,0.0288,0.7333
iso_date_to_month,train,3,0.3841,0.3431,0.0410,0.8600
iso_date_to_month,train,4,0.3999,0.3480,0.0518,0.9267
iso_date_to_month,train,5,0.4126,0.3528,0.0598,0.9067
iso_date_to_month,train,6,0.4195,0.3534,0.0662,0.9733
iso_date_year_plus_one,train,0,0.0877,0.2034,-0.1157,0.0000
iso_date_year_plus_one,train,1,0.3163,0.3291,-0.0128,0.1867
iso_date_year_plus_one,train,2,0.3794,0.3372,0.0421,0.4867
iso_date_year_plus_one,train,3,0.4037,0.3400,0.0636,0.7067
iso_date_year_plus_one,train,4,0.4217,0.3421,0.0796,0.7867
iso_date_year_plus_one,train,5,0.4326,0.3425,0.0901,0.8867
iso_date_year_plus_one,train,6,0.4404,0.3423,0.0980,0.8800
landmark-country,train,0,0.1691,0.2136,-0.0445,0.0000
landmark-country,train,1,0.3561,0.3007,0.0554,0.1867
landmark-country,train,2,0.3931,0.3138,0.0793,0.4133
landmark-country,train,3,0.4025,0.3178,0.0847,0.4600
landmark-country,train,4,0.4148,0.3226,0.0922,0.4400
landmark-country,train,5,0.4216,0.3256,0.0960,0.4800
landmark-country,train,6,0.4282,0.3284,0.0999,0.5067
language_identification,train,0,0.1776,0.2781,-0.1005,0.0000
language_identification,train,1,0.3102,0.3414,-0.0311,0.1533
language_identification,train,2,0.4092,0.3698,0.0394,0.5067
language_identification,train,3,0.4495,0.3725,0.0770,0.5733
language_identification,train,4,0.4672,0.3739,0.0933,0.6867
language_identification,train,5,0.4758,0.3766,0.0992,0.7067
language_identification,train,6,0.4793,0.3782,0.1011,0.7267
larger_of_pair,train,0,0.1684,0.2025,-0.0342,0.0000
larger_of_pair,train,1,0.3607,0.3470,0.0137,0.2933
larger_of_pair,train,2,0.3961,0.3544,0.0417,0.3133
larger_of_pair,train,3,0.4031,0.3554,0.0476,0.3600
larger_of_pair,train,4,0.4124,0.3593,0.0531,0.4800
larger_of_pair,train,5,0.4202,0.3620,0.0582,0.4733
larger_of_pair,train,6,0.4258,0.3636,0.0622,0.5000
larger_than_1000,train,0,0.2067,0.2019,0.0048,0.0000
larger_than_1000,train,1,0.3651,0.3037,0.0614,0.2133
larger_than_1000,train,2,0.3956,0.3212,0.0745,0.3467
larger_than_1000,train,3,0.4166,0.3299,0.0867,0.4667
larger_than_1000,train,4,0.4316,0.3360,0.0956,0.5000
larger_than_1000,train,5,0.4410,0.3401,0.1009,0.5333
larger_than_1000,train,6,0.4475,0.3439,0.1036,0.4867
lowercase_first_letter,train,0,0.1056,0.2432,-0.1376,0.0000
lowercase_first_letter,train,1,0.2930,0.3293,-0.0364,0.1867
lowercase_first_letter,train,2,0.3301,0.3301,0.0001,0.4667
lowercase_first_letter,train,3,0.3411,0.3278,0.0133,0.4200
lowercase_first_letter,train,4,0.3536,0.3292,0.0244,0.5667
lowercase_first_letter,train,5,0.3665,0.3331,0.0334,0.6133
lowercase_first_letter,train,6,0.3754,0.3331,0.0423,0.6867
lowercase_word,train,0,0.0981,0.2436,-0.1455,0.0000
lowercase_word,train,1,0.2768,0.3657,-0.0889,0.5000
lowercase_word,train,2,0.3073,0.3895,-0.0822,0.7533
lowercase_word,train,3,0.3212,0.3978,-0.0766,0.9000
lowercase_word,train,4,0.3353,0.4048,-0.0696,0.9067
lowercase_word,train,5,0.3445,0.4083,-0.0638,0.9600
lowercase_word,train,6,0.3547,0.4128,-0.0581,0.9467
national_parks,train,0,0.1219,0.2067,-0.0848,0.0000
national_parks,train,1,0.3751,0.3142,0.0609,0.3133
national_parks,train,2,0.3939,0.3168,0.0770,0.4733
national_parks,train,3,0.3953,0.3162,0.0791,0.4600
national_parks,train,4,0.4002,0.3180,0.0822,0.5200
national_parks,train,5,0.4037,0.3191,0.0846,0.5267
national_parks,train,6,0.4073,0.3203,0.0870,0.5400
natural_manmade,train,0,0.1992,0.2731,-0.0740,0.0000
natural_manmade,train,1,0.3201,0.3385,-0.0183,0.0533
natural_manmade,train,2,0.3529,0.3554,-0.0026,0.1800
natural_manmade,train,3,0.3812,0.3615,0.0197,0.2733
natural_manmade,train,4,0.3974,0.3648,0.0326,0.4667
natural_manmade,train,5,0.4068,0.3688,0.0380,0.5067
natural_manmade,train,6,0.4118,0.3718,0.0400,0.6667
next_item,train,0,0.2649,0.2516,0.0134,0.0267
next_item,train,1,0.3759,0.3088,0.0671,0.1333
next_item,train,2,0.4163,0.3244,0.0919,0.2667
next_item,train,3,0.4278,0.3328,0.0950,0.3133
next_item,train,4,0.4328,0.3367,0.0961,0.3533
next_item,train,5,0.4382,0.3406,0.0976,0.4333
next_item,train,6,0.4421,0.3408,0.1013,0.4533
next_month_of_date,train,0,0.1339,0.2177,-0.0838,0.0000
next_month_of_date,train,1,0.3701,0.3188,0.0512,0.1400
next_month_of_date,train,2,0.4381,0.3458,0.0923,0.2667
next_month_of_date,train,3,0.4547,0.3520,0.1027,0.4200
next_month_of_date,train,4,0.4641,0.3547,0.1094,0.4800
next_month_of_date,train,5,0.4726,0.3566,0.1159,0.5533
next_month_of_date,train,6,0.4776,0.3584,0.1193,0.5800
next_number_digits,train,0,0.1120,0.2076,-0.0956,0.0067
next_number_digits,train,1,0.3234,0.3196,0.0039,0.3667
next_number_digits,train,2,0.3580,0.3088,0.0492,0.6667
next_number_digits,train,3,0.3767,0.3081,0.0686,0.7800
next_number_digits,train,4,0.3899,0.3109,0.0789,0.7400
next_number_digits,train,5,0.3999,0.3119,0.0880,0.8600
next_number_digits,train,6,0.4064,0.3107,0.0957,0.9267
number_word_to_digits,train,0,0.1190,0.2503,-0.1313,0.0000
number_word_to_digits,train,1,0.3632,0.3401,0.0231,0.4333
number_word_to_digits,train,2,0.3976,0.3373,0.0603,0.6200
number_word_to_digits,train,3,0.4066,0.3358,0.0709,0.6667
number_word_to_digits,train,4,0.4146,0.3358,0.0788,0.6733
number_word_to_digits,train,5,0.4184,0.3359,0.0825,0.7000
number_word_to_digits,train,6,0.4240,0.3373,0.0867,0.7600
park-country,train,0,0.1431,0.2026,-0.0595,0.0000
park-country,train,1,0.3896,0.3164,0.0732,0.3267
park-country,train,2,0.3943,0.3073,0.0870,0.5000
park-country,train,3,0.3968,0.3087,0.0881,0.4533
park-country,train,4,0.4026,0.3112,0.0913,0.4600
park-country,train,5,0.4051,0.3129,0.0923,0.4667
park-country,train,6,0.4068,0.3136,0.0932,0.5133
past_to_base,heldout,0,0.1728,0.2688,-0.0960,0.0000
past_to_base,heldout,1,0.3278,0.3657,-0.0379,0.1800
past_to_base,heldout,2,0.3638,0.3780,-0.0143,0.4667
past_to_base,heldout,3,0.3765,0.3844,-0.0079,0.5800
past_to_base,heldout,4,0.3927,0.3914,0.0013,0.6200
past_to_base,heldout,5,0.4076,0.3992,0.0084,0.6733
past_to_base,heldout,6,0.4185,0.4044,0.0141,0.7200
person-instrument,train,0,0.1817,0.2083,-0.0266,0.0000
person-instrument,train,1,0.3914,0.3107,0.0807,0.0933
person-instrument,train,2,0.4286,0.3276,0.1010,0.1200
person-instrument,train,3,0.4372,0.3288,0.1084,0.2000
person-instrument,train,4,0.4448,0.3313,0.1136,0.1933
person-instrument,train,5,0.4498,0.3341,0.1157,0.1933
person-instrument,train,6,0.4537,0.3369,0.1168,0.2267
person-sport,train,0,0.1508,0.2083,-0.0575,0.0000
person-sport,train,1,0.3630,0.3220,0.0410,0.3267
person-sport,train,2,0.4025,0.3478,0.0548,0.5133
person-sport,train,3,0.4116,0.3510,0.0606,0.5467
person-sport,train,4,0.4190,0.3533,0.0657,0.5600
person-sport,train,5,0.4260,0.3570,0.0690,0.6733
person-sport,train,6,0.4307,0.3591,0.0716,0.6533
person_place_thing,heldout,0,0.2503,0.2787,-0.0284,0.0000
person_place_thing,heldout,1,0.3730,0.3415,0.0315,0.0467
person_place_thing,heldout,2,0.4047,0.3575,0.0471,0.2267
person_place_thing,heldout,3,0.4263,0.3691,0.0572,0.3733
person_place_thing,heldout,4,0.4473,0.3785,0.0688,0.4800
person_place_thing,heldout,5,0.4606,0.3846,0.0760,0.5600
person_place_thing,heldout,6,0.4690,0.3886,0.0804,0.6600
plural_to_singular,train,0,0.2029,0.2634,-0.0604,0.0067
plural_to_singular,train,1,0.3491,0.3647,-0.0156,0.2000
plural_to_singular,train,2,0.3795,0.3755,0.0041,0.5267
plural_to_singular,train,3,0.3865,0.3778,0.0088,0.5933
plural_to_singular,train,4,0.3958,0.3817,0.0141,0.7067
plural_to_singular,train,5,0.4054,0.3873,0.0182,0.7533
plural_to_singular,train,6,0.4137,0.3915,0.0222,0.8333
pos_label,heldout,0,0.1794,0.2697,-0.0902,0.0000
pos_label,heldout,1,0.3649,0.3742,-0.0093,0.1400
pos_label,heldout,2,0.4153,0.3893,0.0260,0.3933
pos_label,heldout,3,0.4391,0.3953,0.0438,0.4600
pos_label,heldout,4,0.4531,0.3973,0.0558,0.4667
pos_label,heldout,5,0.4592,0.3986,0.0606,0.5867
pos_label,heldout,6,0.4620,0.3988,0.0632,0.6000
present-past,train,0,0.1935,0.2685,-0.0751,0.0000
present-past,train,1,0.3454,0.3468,-0.0014,0.2067
present-past,train,2,0.4103,0.3744,0.0359,0.5600
present-past,train,3,0.4359,0.3853,0.0507,0.6933
present-past,train,4,0.4544,0.3897,0.0648,0.7533
present-past,train,5,0.4677,0.3937,0.0740,0.8333
present-past,train,6,0.4766,0.3969,0.0798,0.8933
prev_number_digits,train,0,0.0970,0.2076,-0.1106,0.0000
prev_number_digits,train,1,0.3321,0.3153,0.0169,0.1667
prev_number_digits,train,2,0.3793,0.3070,0.0723,0.4867
prev_number_digits,train,3,0.3946,0.3045,0.0901,0.6400
prev_number_digits,train,4,0.4049,0.3054,0.0995,0.7133
prev_number_digits,train,5,0.4126,0.3057,0.1069,0.8200
prev_number_digits,train,6,0.4198,0.3065,0.1132,0.8467
product-company,train,0,0.1823,0.2114,-0.0291,0.0000
product-company,train,1,0.3586,0.2944,0.0642,0.1267
product-company,train,2,0.3956,0.3023,0.0932,0.2733
product-company,train,3,0.4117,0.3062,0.1056,0.3800
product-company,train,4,0.4265,0.3092,0.1174,0.4333
product-company,train,5,0.4370,0.3123,0.1247,0.4600
product-company,train,6,0.4426,0.3141,0.1285,0.4600
sentiment,train,0,0.1223,0.1973,-0.0749,0.0000
sentiment,train,1,0.3707,0.3265,0.0442,0.2267
sentiment,train,2,0.4181,0.3510,0.0670,0.4600
sentiment,train,3,0.4310,0.3560,0.0750,0.5667
sentiment,train,4,0.4374,0.3604,0.0771,0.5933
sentiment,train,5,0.4429,0.3643,0.0786,0.6133
sentiment,train,6,0.4477,0.3681,0.0796,0.7267
singular-plural,train,0,0.1528,0.2755,-0.1227,0.0000
singular-plural,train,1,0.3235,0.3658,-0.0423,0.3467
singular-plural,train,2,0.3477,0.3752,-0.0275,0.6933
singular-plural,train,3,0.3530,0.3790,-0.0260,0.7000
singular-plural,train,4,0.3627,0.3822,-0.0196,0.8533
singular-plural,train,5,0.3724,0.3860,-0.0136,0.8467
singular-plural,train,6,0.3834,0.3895,-0.0061,0.8867
singular_or_plural,train,0,0.1789,0.2686,-0.0897,0.0000
singular_or_plural,train,1,0.3664,0.3678,-0.0013,0.2200
singular_or_plural,train,2,0.3995,0.3829,0.0166,0.3267
singular_or_plural,train,3,0.4188,0.3868,0.0320,0.5267
singular_or_plural,train,4,0.4351,0.3901,0.0450,0.5800
singular_or_plural,train,5,0.4444,0.3946,0.0498,0.5933
singular_or_plural,train,6,0.4480,0.3966,0.0513,0.6533
smaller_of_pair,heldout,0,0.1738,0.2037,-0.0300,0.0000
smaller_of_pair,heldout,1,0.3628,0.3405,0.0223,0.2467
smaller_of_pair,heldout,2,0.3969,0.3481,0.0488,0.3333
smaller_of_pair,heldout,3,0.4060,0.3489,0.0571,0.3200
smaller_of_pair,heldout,4,0.4156,0.3532,0.0624,0.4067
smaller_of_pair,heldout,5,0.4227,0.3559,0.0668,0.4333
smaller_of_pair,heldout,6,0.4316,0.3596,0.0719,0.4067
spanish-english,heldout,0,0.2985,0.2871,0.0113,0.0067
spanish-english,heldout,1,0.4073,0.3434,0.0639,0.4133
spanish-english,heldout,2,0.4187,0.3502,0.0685,0.5733
spanish-english,heldout,3,0.4238,0.3548,0.0689,0.6267
spanish-english,heldout,4,0.4300,0.3593,0.0707,0.6333
spanish-english,heldout,5,0.4368,0.3638,0.0730,0.6400
spanish-english,heldout,6,0.4413,0.3672,0.0742,0.6400
spanish_noun_gender,train,0,0.1658,0.2848,-0.1190,0.0000
spanish_noun_gender,train,1,0.3361,0.3710,-0.0350,0.3333
spanish_noun_gender,train,2,0.3955,0.3874,0.0081,0.5333
spanish_noun_gender,train,3,0.4174,0.3883,0.0291,0.5400
spanish_noun_gender,train,4,0.4252,0.3906,0.0346,0.5800
spanish_noun_gender,train,5,0.4316,0.3941,0.0375,0.5733
spanish_noun_gender,train,6,0.4365,0.3965,0.0400,0.6133
starts_with_vowel,train,0,0.2105,0.2748,-0.0643,0.0000
starts_with_vowel,train,1,0.3662,0.3604,0.0057,0.1400
starts_with_vowel,train,2,0.4232,0.3777,0.0455,0.3200
starts_with_vowel,train,3,0.4496,0.3795,0.0701,0.4000
starts_with_vowel,train,4,0.4615,0.3805,0.0809,0.4800
starts_with_vowel,train,5,0.4698,0.3828,0.0870,0.4667
starts_with_vowel,train,6,0.4734,0.3844,0.0890,0.4333
third_person_to_base,train,0,0.1786,0.2649,-0.0863,0.0067
third_person_to_base,train,1,0.3215,0.3597,-0.0382,0.2600
third_person_to_base,train,2,0.3616,0.3777,-0.0160,0.5200
third_person_to_base,train,3,0.3725,0.3829,-0.0104,0.6600
third_person_to_base,train,4,0.3869,0.3893,-0.0024,0.7400
third_person_to_base,train,5,0.3998,0.3958,0.0040,0.8067
third_person_to_base,train,6,0.4121,0.4021,0.0100,0.8600
titlecase_phrase,train,0,0.1191,0.2480,-0.1289,0.0000
