family,pole,evidence_text,count,tokens
ellipsis,alt,…,797,1
ellipsis,alt, …,2,1
ellipsis,alt,)…,1,2
num_words,nat, 2,196,1
num_words,nat, 3,183,1
num_words,nat, 5,126,1
num_words,nat, 4,97,1
num_words,nat, 10,59,1
num_words,alt, two,193,1
num_words,alt, three,183,1
num_words,alt, five,126,1
num_words,alt, four,97,1
num_words,alt, ten,59,1
percent_sign,nat,%,733,1
percent_sign,nat,%.,54,1
percent_sign,nat,"%,",12,1
percent_sign,nat,%),1,1
percent_sign,alt, percent,800,1
ordinal_words,nat, 1st,234,2
ordinal_words,nat, 2nd,201,2
ordinal_words,nat, 3rd,193,2
ordinal_words,nat, 4th,164,2
ordinal_words,nat, 5th,5,2
ordinal_words,alt, first,226,1
ordinal_words,alt, second,195,1
ordinal_words,alt, third,189,1
ordinal_words,alt, fourth,163,1
ordinal_words,alt, First,8,1
uk_vocab,nat, vacation,68,1
uk_vocab,nat, cell phone,67,2
uk_vocab,nat, truck,47,1
uk_vocab,nat, sweater,41,1
uk_vocab,nat, trash can,39,2
uk_vocab,alt, holiday,68,1
uk_vocab,alt, mobile phone,67,2
uk_vocab,alt, lorry,47,2
uk_vocab,alt, jumper,41,1
uk_vocab,alt, rubbish bin,39,2
register,nat, begin,132,1
register,nat, try,86,1
register,nat, buy,84,1
register,nat, check,53,1
register,nat, find out,51,2
register,alt, commence,132,1
register,alt, attempt,86,1
register,alt, purchase,84,1
register,alt, verify,53,1
register,alt, discover,51,1
unit_abbr,nat, cm,227,1
unit_abbr,nat, g,125,1
unit_abbr,nat, kg,110,1
unit_abbr,nat, °C,109,2
unit_abbr,nat, ml,104,1
unit_abbr,alt, centimeters,219,1
unit_abbr,alt, grams,124,1
unit_abbr,alt, degrees Celsius,109,2
unit_abbr,alt, milliliters,104,3
unit_abbr,alt, kilograms,93,1
diacritics,nat, cliche,134,2
diacritics,nat, naive,104,1
diacritics,nat, decor,91,1
diacritics,nat, facade,59,1
diacritics,nat, cafe,54,1
diacritics,alt, cliché,134,1
diacritics,alt, naïve,104,1
diacritics,alt, décor,91,2
diacritics,alt, façade,59,3
diacritics,alt, café,54,1
latin_abbr,nat, versus,158,1
latin_abbr,nat, for example,156,2
latin_abbr,nat, that is,135,2
latin_abbr,nat, approximately,125,1
latin_abbr,nat, and so on,94,3
latin_abbr,alt, vs.,158,2
latin_abbr,alt," e.g.,",153,4
latin_abbr,alt," i.e.,",135,4
latin_abbr,alt, approx.,124,2
latin_abbr,alt," I.e.,",50,4
hyphen_compound,nat, online,107,1
hyphen_compound,nat, wellbeing,98,1
hyphen_compound,nat, lifestyle,71,1
hyphen_compound,nat, website,61,1
hyphen_compound,nat, homemade,55,1
hyphen_compound,alt, on-line,107,3
hyphen_compound,alt, well-being,98,3
hyphen_compound,alt, life-style,71,3
hyphen_compound,alt, web-site,61,3
hyphen_compound,alt, home-made,55,3
flat_adverb,nat, carefully,125,1
flat_adverb,nat, slowly,103,1
flat_adverb,nat, firmly,71,1
flat_adverb,nat, evenly,67,1
flat_adverb,nat, directly,67,1
flat_adverb,alt, careful,125,1
flat_adverb,alt, slow,103,1
flat_adverb,alt, firm,71,1
flat_adverb,alt, even,67,1
flat_adverb,alt, direct,67,1
irreg_past,nat, shone,139,1
irreg_past,nat, snuck,128,2
irreg_past,nat, lit,118,1
irreg_past,nat, dove,113,1
irreg_past,nat, strove,109,2
irreg_past,alt, shined,139,2
irreg_past,alt, sneaked,128,2
irreg_past,alt, lighted,118,2
irreg_past,alt, dived,113,2
irreg_past,alt, strived,109,2
latin_plural,nat, forums,121,1
latin_plural,nat, formulas,101,1
latin_plural,nat,ulums,79,2
latin_plural,nat,abuses,70,2
latin_plural,nat, aquariums,69,2
latin_plural,alt, fora,121,2
latin_plural,alt, formulae,101,3
latin_plural,alt,ula,79,1
latin_plural,alt,abi,70,1
latin_plural,alt, aquaria,69,2
title_abbr,nat, Doctor,195,1
title_abbr,nat, Professor,179,1
title_abbr,nat, Street,147,1
title_abbr,nat, Mister,132,1
title_abbr,nat, Avenue,80,1
title_abbr,alt, Dr.,195,2
title_abbr,alt, Prof.,179,2
title_abbr,alt, Mr.,132,2
title_abbr,alt," St.,",64,2
title_abbr,alt, St.,57,2
