task,group,unsteered,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,best_layer,best_acc
larger_of_pair,train,0.0000,0.0000,0.0000,0.0000,0.0133,0.2200,0.2000,0.3467,0.3533,0.2600,0.3067,0.3000,0.3267,0.3600,0.4133,0.3667,0.1600,0.0067,0.0067,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,0.4133
larger_than_1000,train,0.0000,0.0600,0.3400,0.3200,0.4000,0.4267,0.4533,0.5000,0.5000,0.5067,0.5000,0.5133,0.5200,0.4933,0.5133,0.5067,0.5000,0.4333,0.4933,0.4133,0.3467,0.1267,0.3067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11,0.5200
largest_digit,heldout,0.0000,0.0667,0.1400,0.1267,0.1133,0.0467,0.1400,0.1533,0.1400,0.2067,0.2333,0.2133,0.2067,0.2067,0.1667,0.1533,0.1800,0.1000,0.0400,0.0133,0.0067,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,9,0.2333
last_digit,heldout,0.0000,0.0600,0.1267,0.1000,0.1267,0.0867,0.0867,0.1200,0.1067,0.1667,0.2600,0.2867,0.2667,0.2333,0.1533,0.3933,0.5267,0.1800,0.1000,0.0333,0.0267,0.0067,0.0133,0.0133,0.0067,0.0067,0.0067,0.0067,0.0000,15,0.5267
last_two_letters,heldout,0.0000,0.0133,0.0333,0.0933,0.0800,0.1200,0.1467,0.2333,0.2667,0.3133,0.1800,0.2133,0.2933,0.2733,0.2933,0.3467,0.3133,0.2933,0.0667,0.0200,0.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14,0.3467
last_vowel,train,0.0000,0.0733,0.0800,0.0800,0.1400,0.2267,0.2267,0.2067,0.2333,0.2200,0.2533,0.2333,0.2533,0.2933,0.2667,0.2000,0.1867,0.1667,0.1400,0.0933,0.0400,0.0200,0.0533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12,0.2933
lowercase_first_letter,train,0.0000,0.0133,0.0067,0.0400,0.0267,0.0333,0.0400,0.1133,0.0667,0.6333,0.2133,0.2267,0.4000,0.4067,0.4133,0.3267,0.8133,0.3333,0.2000,0.0733,0.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15,0.8133
lowercase_last_letter,train,0.0000,0.0467,0.0533,0.1133,0.1067,0.2267,0.2867,0.3933,0.2400,0.3467,0.2733,0.2400,0.2533,0.2600,0.2733,0.2600,0.2933,0.1400,0.0800,0.0333,0.0067,0.0000,0.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,0.3933
lowercase_word,train,0.0000,0.0000,0.0067,0.0400,0.2133,0.2800,0.5000,0.7067,0.7933,0.7933,0.7867,0.7533,0.8733,0.9000,0.8533,0.8400,0.9133,0.7200,0.5200,0.2867,0.0600,0.0133,0.0133,0.0000,0.0000,0.0000,0.0000,0.0067,0.0000,15,0.9133
national_parks,train,0.0000,0.4467,0.3667,0.2600,0.3267,0.5067,0.7200,0.7267,0.6600,0.6133,0.6600,0.6867,0.7133,0.7000,0.7400,0.7133,0.7200,0.7000,0.7200,0.6733,0.6200,0.2200,0.1600,0.0533,0.0067,0.0133,0.0267,0.0133,0.0133,13,0.7400
nato_first_letter,train,0.0000,0.0000,0.0000,0.0133,0.0000,0.0267,0.0867,0.0733,0.0467,0.0400,0.0533,0.0533,0.0400,0.0267,0.0467,0.0333,0.0400,0.0200,0.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,0.0867
natural_manmade,heldout,0.0000,0.0533,0.0600,0.0667,0.0800,0.3667,0.2733,0.3200,0.3800,0.4000,0.3600,0.3867,0.4000,0.4200,0.4267,0.3800,0.4067,0.3200,0.3400,0.2600,0.0933,0.0267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,0.4267
next_in_group,heldout,0.0000,0.0192,0.0192,0.0385,0.0577,0.0577,0.0962,0.1346,0.1538,0.1731,0.1346,0.1154,0.1346,0.1923,0.1923,0.1923,0.1538,0.0769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12,0.1923
next_in_period,train,0.0000,0.0000,0.0385,0.0769,0.0962,0.0577,0.0962,0.1346,0.2115,0.1154,0.2308,0.1154,0.2692,0.2500,0.2885,0.4038,0.3077,0.1346,0.0000,0.0000,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14,0.4038
