task,group,zero_shot,real_6shot,own_zero_L9to27,own_mean_L9to27,cf_zero_L9to27,cf_mean_L9to27,own_zero_L0to27,own_mean_L0to27,cf_zero_L0to27,cf_mean_L0to27,cf_task,family,cf_family,cos_own_cf
compound_first,train,0.0,0.5467,0.0067,0.2867,0.4333,0.5,0.0067,0.3067,0.4467,0.5133,person-sport,string_manipulation,world_knowledge,0.3426
concrete_abstract,train,0.0,0.56,0.0,0.0067,0.02,0.4133,0.0,0.02,0.04,0.4133,verb_tense_label,world_knowledge,morphology_linguistic,0.5851
contains_letter_e,train,0.0267,0.4267,0.0,0.0267,0.42,0.4067,0.0,0.0533,0.3933,0.4067,iso_date_to_month,string_manipulation,numerical,0.3004
country-capital,train,0.0,0.7933,0.0133,0.4333,0.7467,0.7067,0.0067,0.4067,0.7933,0.7067,sentiment,world_knowledge,text_classification,0.0499
day_after_textual_date,train,0.0,0.9533,0.3533,0.78,0.8467,0.98,0.4067,0.68,0.8867,0.9667,first_digit,numerical,string_manipulation,0.4355
ends_with_ing,heldout,0.0067,0.52,0.0,0.02,0.4333,0.4133,0.0,0.0267,0.5,0.5867,next_month_of_date,string_manipulation,numerical,0.3168
english-french,heldout,0.0,0.6,0.0133,0.3733,0.4067,0.54,0.0067,0.4,0.3533,0.56,lowercase_word,translation,string_manipulation,0.5635
english-italian,train,0.0,0.54,0.0333,0.4867,0.1133,0.4933,0.02,0.42,0.1333,0.5533,plural_to_singular,translation,morphology_linguistic,0.6058
english-portuguese,train,0.0,0.62,0.0133,0.5133,0.4533,0.5667,0.0267,0.54,0.4867,0.5467,adjective_to_adverb,translation,morphology_linguistic,0.4932
english-spanish,train,0.0,0.6,0.0,0.4667,0.3667,0.5867,0.0,0.4867,0.3867,0.5933,adjective_to_adverb,translation,morphology_linguistic,0.5592
first_digit,heldout,0.0067,0.5333,0.0133,0.3267,0.6267,0.52,0.0267,0.28,0.6067,0.5533,word_polarity,string_manipulation,text_classification,0.3446
first_three_letters,train,0.0,0.3133,0.0,0.14,0.2933,0.3267,0.0,0.12,0.3533,0.3733,singular_or_plural,string_manipulation,morphology_linguistic,0.1974
french-english,heldout,0.0,0.6267,0.0,0.4533,0.4867,0.6933,0.0,0.5,0.46,0.6333,language_identification,translation,world_knowledge,0.3304
french_noun_gender,train,0.0,0.6467,0.0,0.0,0.5467,0.6067,0.0,0.0,0.5,0.66,english-italian,morphology_linguistic,translation,0.2111
german-english,train,0.0,0.6933,0.0,0.4333,0.46,0.64,0.0,0.48,0.5133,0.6333,german_noun_gender,translation,morphology_linguistic,0.4102
german_noun_gender,train,0.0,0.5267,0.0067,0.1533,0.3133,0.42,0.0067,0.18,0.24,0.4133,first_three_letters,morphology_linguistic,string_manipulation,0.4845
gerund_to_base,heldout,0.0,0.7067,0.0133,0.3467,0.06,0.6533,0.0067,0.3467,0.0533,0.72,spanish-english,morphology_linguistic,translation,0.7944
gerund_to_past,train,0.0,0.6533,0.0,0.1733,0.0333,0.5933,0.0,0.1267,0.06,0.5533,compound_first,morphology_linguistic,string_manipulation,0.7433
hypernym_category,train,0.0,0.3667,0.0,0.0467,0.32,0.4067,0.0,0.04,0.3267,0.3867,english-french,world_knowledge,translation,0.4459
initials_two_words,heldout,0.0,0.6733,0.0,0.0467,0.66,0.5733,0.0,0.0733,0.7,0.56,person-instrument,string_manipulation,world_knowledge,0.2076
iso_date_to_month,train,0.0,0.9733,0.0733,0.7333,0.9067,0.9733,0.0933,0.64,0.9533,0.98,product-company,numerical,world_knowledge,0.3708
iso_date_year_plus_one,train,0.0,0.8867,0.0733,0.5133,0.8333,0.9267,0.1733,0.54,0.8467,0.88,initials_two_words,numerical,string_manipulation,0.3629
landmark-country,train,0.0,0.5,0.0,0.14,0.5,0.4533,0.0,0.14,0.5133,0.4467,adjective_to_adverb,world_knowledge,morphology_linguistic,0.1766
language_identification,train,0.0,0.6867,0.0,0.0267,0.66,0.7267,0.0,0.02,0.5667,0.72,german_noun_gender,world_knowledge,morphology_linguistic,0.366
larger_of_pair,train,0.0,0.5533,0.0333,0.42,0.56,0.4867,0.08,0.3933,0.5733,0.46,singular_or_plural,numerical,morphology_linguistic,0.2764
larger_than_1000,train,0.0,0.52,0.0,0.0933,0.5,0.5467,0.0,0.08,0.4733,0.5933,past_to_base,numerical,morphology_linguistic,0.2727
lowercase_first_letter,train,0.0,0.6933,0.0067,0.2333,0.6733,0.6067,0.0,0.1867,0.6267,0.68,country-capital,string_manipulation,world_knowledge,0.2907
lowercase_word,train,0.0,0.98,0.0467,0.72,0.9467,0.96,0.0267,0.6933,0.9267,0.9467,product-company,string_manipulation,world_knowledge,0.2359
national_parks,train,0.0,0.52,0.0,0.2533,0.5133,0.52,0.0,0.26,0.5067,0.5067,past_to_base,world_knowledge,morphology_linguistic,0.2058
natural_manmade,train,0.0,0.5867,0.0,0.0333,0.22,0.6333,0.0,0.0133,0.2,0.5867,pos_label,world_knowledge,morphology_linguistic,0.4899
next_item,train,0.0267,0.4733,0.0,0.1667,0.2533,0.48,0.0,0.22,0.2467,0.4333,plural_to_singular,numerical,morphology_linguistic,0.4304
next_month_of_date,train,0.0067,0.5667,0.0133,0.1467,0.6733,0.56,0.02,0.1467,0.68,0.5533,verb_tense_label,numerical,morphology_linguistic,0.3121
next_number_digits,train,0.0133,0.8733,0.0333,0.5133,0.9067,0.8867,0.0533,0.5467,0.8867,0.9,pos_label,numerical,morphology_linguistic,0.1945
number_word_to_digits,train,0.0,0.76,0.0467,0.5667,0.7333,0.74,0.04,0.5867,0.74,0.72,person-sport,numerical,world_knowledge,0.1614
park-country,train,0.0,0.4867,0.0,0.24,0.3067,0.5267,0.0,0.3067,0.3133,0.4733,german-english,world_knowledge,translation,0.3433
past_to_base,heldout,0.0,0.7333,0.0,0.3333,0.38,0.6933,0.0,0.3267,0.4733,0.76,animal_plant_object,morphology_linguistic,world_knowledge,0.3752
person-instrument,train,0.0,0.28,0.0,0.06,0.1467,0.26,0.0,0.02,0.1467,0.32,antonym,world_knowledge,morphology_linguistic,0.337
person-sport,train,0.0,0.6733,0.0,0.0733,0.46,0.7133,0.0,0.1733,0.4533,0.6533,french_noun_gender,world_knowledge,morphology_linguistic,0.4699
person_place_thing,heldout,0.0,0.6533,0.0,0.0667,0.4067,0.6067,0.0,0.0533,0.3933,0.5667,gerund_to_base,world_knowledge,morphology_linguistic,0.4213
plural_to_singular,train,0.0,0.82,0.0,0.34,0.4533,0.7533,0.0,0.3,0.4867,0.7933,english-portuguese,morphology_linguistic,translation,0.6301
pos_label,heldout,0.0,0.5867,0.0,0.08,0.56,0.5467,0.0,0.0933,0.5667,0.6667,larger_of_pair,morphology_linguistic,numerical,0.2346
present-past,train,0.0133,0.84,0.0,0.2133,0.5,0.8533,0.0067,0.18,0.4267,0.84,smaller_of_pair,morphology_linguistic,numerical,0.4689
prev_number_digits,train,0.0,0.8733,0.0133,0.2933,0.8533,0.84,0.0267,0.3733,0.78,0.84,person_place_thing,numerical,world_knowledge,0.1478
product-company,train,0.0,0.4667,0.0,0.0933,0.4867,0.4867,0.0,0.1067,0.36,0.4933,gerund_to_past,world_knowledge,morphology_linguistic,0.1808
sentiment,train,0.0,0.72,0.0,0.0133,0.6733,0.7133,0.0,0.0133,0.6533,0.6733,park-country,text_classification,world_knowledge,0.2365
singular-plural,train,0.0,0.94,0.0067,0.3533,0.8067,0.9333,0.0,0.3267,0.8267,0.9133,city-country,morphology_linguistic,world_knowledge,0.3198
singular_or_plural,train,0.0,0.5867,0.0,0.0267,0.1467,0.5533,0.0,0.02,0.1,0.62,animal_plant_object,morphology_linguistic,world_knowledge,0.5028
smaller_of_pair,heldout,0.0,0.48,0.02,0.3,0.4,0.46,0.0333,0.3667,0.3933,0.48,country-capital,numerical,world_knowledge,0.3484
spanish-english,heldout,0.0,0.7133,0.0067,0.52,0.0333,0.6,0.0067,0.5667,0.06,0.66,plural_to_singular,translation,morphology_linguistic,0.7847
spanish_noun_gender,train,0.0,0.6,0.0,0.0,0.5533,0.5733,0.0,0.0067,0.54,0.5867,english-french,morphology_linguistic,translation,0.1896
starts_with_vowel,train,0.0,0.46,0.0,0.0,0.4067,0.4733,0.0,0.02,0.3667,0.42,past_to_base,string_manipulation,morphology_linguistic,0.2802
third_person_to_base,train,0.0,0.8,0.0067,0.3933,0.5733,0.8,0.0067,0.3533,0.52,0.84,initials_two_words,morphology_linguistic,string_manipulation,0.5357
titlecase_phrase,train,0.0,0.8867,0.0,0.2333,0.9133,0.9067,0.0,0.22,0.8933,0.8933,verb_tense_label,string_manipulation,morphology_linguistic,0.199
uppercase_word,heldout,0.0,0.9533,0.0067,0.2067,0.7333,0.92,0.0067,0.2333,0.82,0.9667,english-spanish,string_manipulation,translation,0.5723
us-city-state,train,0.0,0.7133,0.0,0.2267,0.6,0.66,0.0,0.2067,0.62,0.6867,starts_with_vowel,world_knowledge,string_manipulation,0.333
verb_tense_label,train,0.0,0.3,0.0,0.0267,0.02,0.2133,0.0067,0.04,0.0133,0.26,word_polarity,morphology_linguistic,text_classification,0.6135
verb_to_third_person,train,0.0,0.78,0.0,0.2,0.7533,0.7867,0.0,0.2333,0.7133,0.7133,next_month_of_date,morphology_linguistic,numerical,0.2683
word_polarity,heldout,0.0,0.7067,0.0,0.0067,0.5467,0.6467,0.0,0.0267,0.4933,0.6333,capitalize_first_letter,text_classification,string_manipulation,0.2794
