task,group,zero_shot,real_1shot,own_zero_L9to27,own_mean_L9to27,cf_zero_L9to27,cf_mean_L9to27,cf_task,cos_own_cf
english-portuguese,train,0.0,0.2533,0.0,0.0667,0.06,0.2533,adjective_to_adverb,0.4932
english-spanish,train,0.0,0.22,0.0,0.1067,0.0667,0.3667,adjective_to_adverb,0.5592
first_digit,heldout,0.0067,0.06,0.0,0.0133,0.04,0.04,word_polarity,0.3446
first_three_letters,train,0.0,0.08,0.0,0.0,0.0467,0.04,singular_or_plural,0.1974
french-english,heldout,0.0,0.36,0.0,0.1067,0.12,0.3867,language_identification,0.3304
french_noun_gender,train,0.0,0.2067,0.0,0.0067,0.38,0.2267,english-italian,0.2111
german-english,train,0.0,0.36,0.0,0.1533,0.1733,0.3133,german_noun_gender,0.4102
german_noun_gender,train,0.0,0.1067,0.0,0.0133,0.04,0.0933,first_three_letters,0.4845
gerund_to_base,heldout,0.0,0.2133,0.0067,0.0667,0.0067,0.18,spanish-english,0.7944
gerund_to_past,train,0.0,0.1267,0.0,0.0267,0.0,0.1133,compound_first,0.7433
hypernym_category,train,0.0,0.1333,0.0,0.0267,0.0467,0.12,english-french,0.4459
initials_two_words,heldout,0.0,0.0333,0.0,0.0,0.0533,0.0267,person-instrument,0.2076
iso_date_to_month,train,0.0,0.32,0.0,0.0467,0.0867,0.2867,product-company,0.3708
iso_date_year_plus_one,train,0.0,0.14,0.0133,0.0133,0.0667,0.1733,initials_two_words,0.3629
landmark-country,train,0.0,0.1733,0.0,0.0133,0.14,0.2067,adjective_to_adverb,0.1766
language_identification,train,0.0,0.0933,0.0,0.0067,0.02,0.0667,german_noun_gender,0.366
larger_of_pair,train,0.0,0.24,0.0067,0.0933,0.18,0.2467,singular_or_plural,0.2764
larger_than_1000,train,0.0,0.1667,0.0,0.0067,0.0667,0.2267,past_to_base,0.2727
lowercase_first_letter,train,0.0,0.1267,0.0,0.0,0.1,0.1067,country-capital,0.2907
lowercase_word,train,0.0,0.52,0.0,0.0933,0.3533,0.5333,product-company,0.2359
national_parks,train,0.0,0.3067,0.0,0.0333,0.2067,0.3467,past_to_base,0.2058
natural_manmade,train,0.0,0.0533,0.0,0.0,0.0133,0.04,pos_label,0.4899
next_item,train,0.0267,0.08,0.0067,0.04,0.0467,0.08,plural_to_singular,0.4304
next_month_of_date,train,0.0067,0.1533,0.0,0.04,0.0467,0.1733,verb_tense_label,0.3121
next_number_digits,train,0.0133,0.2867,0.0067,0.02,0.2933,0.28,pos_label,0.1945
number_word_to_digits,train,0.0,0.46,0.0133,0.18,0.5067,0.48,person-sport,0.1614
park-country,train,0.0,0.3667,0.0,0.0333,0.1867,0.3667,german-english,0.3433
past_to_base,heldout,0.0,0.28,0.0,0.0267,0.0667,0.2333,animal_plant_object,0.3752
person-instrument,train,0.0,0.1667,0.0,0.0133,0.0467,0.0933,antonym,0.337
person-sport,train,0.0,0.3,0.0,0.0333,0.08,0.3067,french_noun_gender,0.4699
person_place_thing,heldout,0.0,0.06,0.0,0.0,0.0267,0.0533,gerund_to_base,0.4213
plural_to_singular,train,0.0,0.2467,0.0,0.04,0.0067,0.1467,english-portuguese,0.6301
pos_label,heldout,0.0,0.18,0.0,0.0,0.0667,0.1333,larger_of_pair,0.2346
present-past,train,0.0133,0.26,0.0,0.02,0.0867,0.22,smaller_of_pair,0.4689
prev_number_digits,train,0.0,0.1533,0.0,0.02,0.0933,0.1133,person_place_thing,0.1478
product-company,train,0.0,0.1133,0.0,0.02,0.08,0.0867,gerund_to_past,0.1808
sentiment,train,0.0,0.2133,0.0,0.0,0.1667,0.2467,park-country,0.2365
singular-plural,train,0.0,0.5067,0.0,0.12,0.2533,0.44,city-country,0.3198
singular_or_plural,train,0.0,0.08,0.0,0.0,0.0,0.0733,animal_plant_object,0.5028
smaller_of_pair,heldout,0.0,0.2867,0.0067,0.0333,0.18,0.2867,country-capital,0.3484
spanish-english,heldout,0.0,0.4467,0.0,0.16,0.0,0.36,plural_to_singular,0.7847
spanish_noun_gender,train,0.0,0.18,0.0,0.0133,0.32,0.2467,english-french,0.1896
starts_with_vowel,train,0.0,0.0733,0.0,0.0,0.0733,0.08,past_to_base,0.2802
third_person_to_base,train,0.0,0.2067,0.0,0.0533,0.0467,0.18,initials_two_words,0.5357
titlecase_phrase,train,0.0,0.1467,0.0,0.0067,0.1267,0.16,verb_tense_label,0.199
uppercase_word,heldout,0.0,0.3467,0.0,0.0,0.0267,0.2333,english-spanish,0.5723
us-city-state,train,0.0,0.3467,0.0,0.0133,0.1533,0.4,starts_with_vowel,0.333
verb_tense_label,train,0.0,0.0533,0.0,0.0067,0.0,0.0867,word_polarity,0.6135
verb_to_third_person,train,0.0,0.2867,0.0,0.04,0.2467,0.2267,next_month_of_date,0.2683
word_polarity,heldout,0.0,0.1733,0.0,0.0,0.06,0.16,capitalize_first_letter,0.2794
