name,lang,kind,status,nat,alt,n,reason
-ward vs -wards adverbs,English,toward → towards,pruned before inference,—,—,—,Dropped by decision: too trivial (a closed lexicon of about eight words).
diacritics,English,cafe → café,kept (in pool),0.40,0.45,200,"Passes the cutoff (.40/.45) but both features are weak (steering lift ≤ .13): in the pool, fails the feature gate."
latin_abbr,English,for example → e.g.,tested: too weak,0.35,0.24,200,Alternative pole .24 at k = 4 (natural pole only .35): the model rarely produces the abbreviations in running prose.
Sentence-initial connectors,English,But → However,pruned before inference,—,—,—,"Dropped by decision: too trivial, and it is a sentence-position marker (But/However at sentence starts) rather than a rule applying across the vocabulary."
Generic 'you' vs 'one',English,you should → one should,pruned before inference,—,—,—,"Dropped by decision: trivial, and rendering would also need verb-agreement changes."
Collective-noun agreement [en_collective],English,the team is → the team are,tested: too weak,0.92,0.24,72,Round-3 cheap check (72 texts): plural agreement .00→.24 at k = 4 (singular .92); below the cutoff — some learning but not enough.
UK/US preposition idioms [en_prep_idioms],English,on the weekend → at the weekend,kept (in pool),0.63,0.37,59,"Round-3 cheap check (59 texts): alt .10→.37, nat .63; passes the cutoff — the earlier 'too trivial / too rare' assumption was wrong."
Weekday/month abbreviations,English,Monday → Mon.,pruned before inference,—,—,—,"Dropped by decision: overlaps title and street abbreviations (Dr., St.); would need texts built around dates."
hyphen_compound,English,email → e-mail,tested: too weak,0.76,0.21,200,Alternative pole .21 at k = 4: hyphenated compounds are a weak prior the model does not adopt from four examples.
Compound-modifier hyphenation,English,long-term → long term,pruned before inference,—,—,—,Dropped by decision: a duplicate of hyphenated compounds (email/e-mail).
'have' vs 'have got',English,I have → I've got,pruned before inference,—,—,—,"Dropped by decision: too trivial a change, and rendering needs a light parse to avoid rewriting the auxiliary 'have' (I have eaten)."
flat_adverb,English,drive slowly → drive slow,tested: too weak,0.74,0.09,200,Alternative pole .09 at k = 4: flat adverbs are essentially never produced; the corpus also needed two generation rounds.
irreg_past,English,dived → dove,tested: too weak,0.47,0.12,200,"Alternative pole .12 at k = 4: rare forms, same sparsity problem as learnt/learned; the corpus needed regeneration."
latin_plural,English,indexes → indices,kept (in pool),0.57,0.35,200,"Passes the cutoff (alt .35) but the write feature is weak (.23→.28): in the pool, fails the feature gate."
title_abbr,English,Doctor Smith → Dr. Smith,kept (in pool),0.67,0.57,200,Passes the cutoff; both features work.
Canadian / Oxford spelling [en_canadian],English,colour + -ize,kept (in pool),0.79,0.42,77,"Round-3 cheap check (77 texts): alt .01→.42, nat .79; passes the cutoff — the earlier assumption was wrong. Candidate for the pool (shares the British axis with us_uk/ise_ize)."
Archaic house style [en_archaic],English,"to-day, connexion",tested: too weak,0.76,0.00,41,"Round-3 cheap check (41 texts): archaic forms .00→.00 — never produced, as the pretraining prior predicted."
Dating variants,English,e-mail / on-line,pruned before inference,—,—,—,Duplicate of hyphenated compounds (email/e-mail).
Exonyms and romanisation [en_exonyms],English,"Kiev → Kyiv, Peking → Beijing",tested: too weak,0.82,0.25,60,Round-3 cheap check (60 texts): older exonyms .27→.25 — no in-context learning; the model keeps its own name preference (mix of Kiev/Kyiv etc.) regardless of context.
Gender-inclusive English [en_inclusive],English,chairman → chair,kept (in pool),0.32,0.40,60,"Round-3 cheap check (60 texts): both poles ≥ .30 so it passes the numeric cutoff, BUT with a caveat — the model's default is already the inclusive term (traditional .25→.32, inclusive .43→.40) and neither pole moves with examples; passes on prior, not on learning. Flagged for a ruling."
zh_simp_trad,Chinese,这个 → 這個 (Simplified → Traditional),kept (in pool),0.94,0.92,200,Added after the switch to Qwen; the best-learned convention of all (.94/.92); both features work.
zh_tw_hk,Chinese,裡/著 → 裏/着 (Taiwan → Hong Kong),"tested, then dropped",0.43,0.23,200,"Passed the cheap 46-text check (.41/.30) but fell to .43/.23 on the full 200-text corpus; differences too sparse, 45 % of completions unscorable."
ja_long_vowel,Japanese,コンピューター → コンピュータ,tested: too weak,0.62,0.23,13,"Cheap check only: alternative .23, and only 13 usable texts (loanwords rare in the base topics)."
ru_yo,Russian,ё → е,kept (in pool),0.57,0.56,198,"Passes the cutoff (.57/.56); the model's default is е, so the ё pole is the learned one; steering weak (write .07→.18) — in the pool, fails the gate."
uk_2019,Ukrainian,проект → проєкт (2019 orthography),tested: too weak,0.05,0.30,44,Cheap check: natural (2019) pole .05 — the model does not produce the 2019 forms; Ukrainian also judge-limited (.53).
de_1996,German,daß → dass (1996 reform),"tested, then dropped",0.54,0.26,200,Passed the cheap check at exactly .30 but fell to .54/.26 on the full corpus; German is also judge-limited (.72–.75 in the pilot).
de_swiss,German,Straße → Strasse,tested: too weak,0.51,0.11,45,Cheap check: alternative .11; Swiss ss pole is a weak prior on top of weak German.
fr_1990,French,coût → cout (1990 rectifications),tested: too weak,0.51,0.08,49,Cheap check: alternative .08; the rectified spellings are rarely used on the web; French judge-limited.
pt_acordo_eu,Portuguese,acção → ação (post-1990 EP),kept (in pool),0.71,0.54,200,Passes the cutoff (.71/.54); both features work.
pt_acordo_br,Portuguese,idéia → ideia (post-1990 BR),tested: too weak,0.56,0.09,45,Cheap check: alternative (pre-1990) .09; the old trema/accent forms are gone from modern text.
pt_br_eu,Portuguese,ônibus → autocarro (BR → EP),kept (in pool),0.83,0.45,200,Passes the cutoff (.83/.45); both features work.
es_rae2010,Spanish,sólo → solo (2010 RAE accents),kept (in pool),0.61,0.30,200,"Passes the cutoff at exactly .30 on the alternative pole; read feature works, write feature weak on the alt pole."
German gender-star forms [de_inclusive],German,die Studenten → die Student*innen,kept (in pool),0.75,0.39,56,"Round-3 cheap check (56 texts): gender-star forms .00→.39 at k = 4 (.54 style-only), masculine .75; passes the cutoff despite German being judge-limited (.75) — the earlier assumption was wrong."
French space before punctuation,French,France vs Quebec spacing,pruned before inference,—,—,—,"Deferred: a fixed-marker (lexically identical) convention, and French is judge-limited."
Dutch 1995/2006 spelling,Dutch,pannekoek → pannenkoek,pruned before inference,—,—,—,Dropped: rare pole; Qwen's Dutch scored .00 faithful∧fluent in the pilot.
Romanian 1993 reform,Romanian,cînd → când,pruned before inference,—,—,—,Dropped: Qwen's Romanian scored .00 in the pilot.
Belarusian Taraškievica [be_tarask],Belarusian,(scattered word forms),tested: too weak,0.16,0.00,25,Round-3 cheap check (25 texts): judge OK .28 and 66 % unscorable — Qwen cannot write Belarusian; Taraškievica .00→.00.
Serbo-Croatian ekavian/ijekavian,Serbo-Croatian,mleko → mlijeko,pruned before inference,—,—,—,Deferred: language untested on Qwen; entangled with Serbian/Croatian vocabulary differences.
Japanese shinjitai/kyūjitai,Japanese,学 → 學,pruned before inference,—,—,—,Deferred: the old-character pole is rare in modern text (expected to fail like the other rare poles).
Japanese historical kana [ja_hist_kana],Japanese,いふ → いう,tested: too weak,0.42,0.04,53,"Round-3 cheap check (53 texts): historical kana .00→.04 (judge .65) — not learned, as assumed."
Korean North vs South [ko_north],Korean,로동 → 노동 (initial ㄹ/ㄴ rule),tested: too weak,0.44,0.00,52,"Round-3 cheap check (52 texts): North Korean spellings .02→.00 (South .44, judge .74) — not learned, as assumed."
Arabic final ya,Arabic,ي → ى,pruned before inference,—,—,—,"Dropped: only a single-dot difference on the last letter of a word (ي written as ى, Egyptian print style) — tokenisers often normalise the two forms together, and Qwen's Arabic writing was never piloted, so it would likely be judge-limited."
Hebrew plene vs defective,Hebrew,ktiv male / haser,pruned before inference,—,—,—,"Dropped: Hebrew writing is weak on this model, and whether vowel letters are written (plene vs defective) is not standardised even in modern Hebrew, so a clean natural pole cannot be defined."
Quote marks (typography),various,„…“ vs «…» vs 「」,pruned before inference,—,—,—,"Dropped: a single fixed marker (which quotation glyphs are used), i.e. lexically identical; English already has curly_quotes and quote_punct."
Unicode normalisation / Romanian ş vs ș [es_nfd],encoding,NFC vs NFD,not testable on this model,—,—,—,"Built (Spanish, 60 texts) but Qwen's tokenizer normalises NFD to NFC: both poles give identical token ids, so the model cannot see the difference; no rollouts run."
Colloquial vs neutral nouns,English,"children → kids, many → a lot of",pruned before inference,—,—,—,"Merged into register (overlapping idea): one lexicon covers plain-vs-formal words, colloquial nouns and phrasal verbs."
Phrasal vs single-word verbs,English,"discover → find out, postpone → put off",pruned before inference,—,—,—,Merged into register (overlapping idea).
French écriture inclusive [fr_inclusive],French,les étudiants → les étudiant·e·s,tested: too weak,0.82,0.20,60,"Round-3 cheap check (60 texts): point-médian forms .00→.20 at k = 4, masculine .82 (judge .82); below the cutoff — some learning, not enough."
