doc_id,family,ok_opus,ok_gpt5,accepted,items_opus,items_gpt5,items_both,n_issues_opus,n_issues_gpt5
bash_subst__t091,bash_subst,False,False,False,fake_decision invalid padding wrong_task,fake_decision padding wrong_task,fake_decision padding wrong_task,7,10
bash_subst__t093,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,7,20
bash_subst__t094,bash_subst,False,False,False,fake_decision invalid padding,fake_decision,fake_decision,3,2
bash_subst__t096,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding wrong_task,fake_decision padding,7,7
bash_subst__t097,bash_subst,False,False,False,fake_decision padding,fake_decision padding wrong_task,fake_decision padding,7,14
bash_subst__t098,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,5,20
bash_subst__t099,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision padding wrong_task,fake_decision padding wrong_task,7,13
bash_subst__t100,bash_subst,False,False,False,padding,padding,padding,1,2
bash_subst__t101,bash_subst,False,False,False,fake_decision invalid padding wrong_task,fake_decision invalid padding wrong_task,fake_decision invalid padding wrong_task,6,16
bash_subst__t102,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision family_rule,fake_decision,6,2
bash_subst__t103,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,4,9
bash_subst__t104,bash_subst,False,False,False,padding,invalid padding wrong_task,padding,3,11
bash_subst__t105,bash_subst,False,False,False,padding,padding,padding,5,6
bash_subst__t106,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,7,16
bash_subst__t109,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,7,14
bash_subst__t110,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,6,18
bash_subst__t112,bash_subst,False,False,False,fake_decision invalid padding,fake_decision invalid padding,fake_decision invalid padding,5,13
bash_subst__t113,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention padding,8,17
bash_subst__t114,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,6,7
bash_subst__t118,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,4,12
bash_subst__t119,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,4,4
bash_subst__t123,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,8,12
bash_subst__t124,bash_subst,False,False,False,fake_decision invalid padding wrong_task,fake_decision padding wrong_task,fake_decision padding wrong_task,7,10
bash_subst__t126,bash_subst,False,False,False,invalid padding wrong_task,padding wrong_task,padding wrong_task,5,5
bash_subst__t128,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,7,20
bash_subst__t129,bash_subst,False,False,False,padding,padding,padding,8,16
bash_subst__t130,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision padding wrong_task,fake_decision padding wrong_task,6,12
bash_subst__t131,bash_subst,False,False,False,fake_decision padding,fake_decision padding wrong_task,fake_decision padding,6,16
bash_subst__t133,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,7,10
bash_subst__t134,bash_subst,False,False,False,fake_decision padding wrong_task,invalid wrong_task,wrong_task,4,10
bash_subst__t136,bash_subst,False,False,False,padding too_few_or_bunched,padding,padding,6,8
bash_subst__t139,bash_subst,False,False,False,padding,invalid,,2,1
bash_subst__t142,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision padding too_few_or_bunched wrong_task,fake_decision padding wrong_task,7,21
bash_subst__t143,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,6,16
bash_subst__t144,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,8,7
bash_subst__t145,bash_subst,False,False,False,padding wrong_task,padding wrong_task,padding wrong_task,5,18
bash_subst__t146,bash_subst,False,False,False,fake_decision invalid padding,fake_decision meaning_change padding,fake_decision padding,3,3
bash_subst__t150,bash_subst,False,False,False,fake_decision invalid padding,padding,padding,8,6
bash_subst__t151,bash_subst,False,False,False,padding wrong_task,invalid padding,padding,4,22
bash_subst__t153,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention padding,5,17
bash_subst__t154,bash_subst,False,False,False,fake_decision inconsistent_convention invalid padding wrong_task,extra_change fake_decision family_rule inconsistent_convention invalid meaning_change padding,fake_decision inconsistent_convention invalid padding,7,27
bash_subst__t155,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,5,14
bash_subst__t158,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,6,8
bash_subst__t159,bash_subst,False,False,False,padding wrong_task,padding,padding,6,6
bash_subst__t160,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,7,22
bash_subst__t161,bash_subst,False,False,False,fake_decision inconsistent_convention padding wrong_task,fake_decision family_rule inconsistent_convention padding wrong_task,fake_decision inconsistent_convention padding wrong_task,5,7
bash_subst__t162,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,6,9
bash_subst__t163,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision padding wrong_task,fake_decision padding wrong_task,4,5
bash_subst__t166,bash_subst,False,False,False,fake_decision inconsistent_convention padding wrong_task,fake_decision inconsistent_convention invalid padding,fake_decision inconsistent_convention padding,6,7
bash_subst__t168,bash_subst,False,False,False,padding too_few_or_bunched,invalid padding,padding,9,9
bash_subst__t170,bash_subst,False,False,False,padding wrong_task,invalid padding wrong_task,padding wrong_task,5,18
bash_subst__t173,bash_subst,False,False,False,padding wrong_task,padding,padding,4,11
bash_subst__t174,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,7,8
bash_subst__t176,bash_subst,False,False,False,fake_decision invalid padding wrong_task,fake_decision invalid padding wrong_task,fake_decision invalid padding wrong_task,6,8
bash_subst__t177,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,7,15
bash_subst__t179,bash_subst,False,False,False,fake_decision family_rule inconsistent_convention padding,extra_change fake_decision inconsistent_convention invalid padding too_few_or_bunched,fake_decision inconsistent_convention padding,6,15
bash_subst__t180,bash_subst,False,False,False,padding wrong_task,invalid wrong_task,wrong_task,4,5
bash_subst__t181,bash_subst,False,False,False,padding wrong_task,invalid padding,padding,4,6
bash_subst__t182,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision padding,fake_decision padding,6,6
bash_subst__t183,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision family_rule padding,fake_decision padding,4,11
bash_subst__t184,bash_subst,False,False,False,fake_decision padding,extra_change fake_decision padding,fake_decision padding,6,9
bash_subst__t185,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision padding,fake_decision padding,7,14
bash_subst__t186,bash_subst,False,False,False,fake_decision inconsistent_convention invalid padding,fake_decision inconsistent_convention meaning_change padding,fake_decision inconsistent_convention padding,7,13
bash_subst__t187,bash_subst,False,False,False,fake_decision padding,padding wrong_task,padding,7,10
bash_subst__t188,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,4,9
bash_subst__t189,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision family_rule padding,fake_decision padding,6,10
bash_subst__t191,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,8,11
bash_subst__t192,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,6,6
bash_subst__t196,bash_subst,False,False,False,fake_decision padding,padding,padding,4,4
bash_subst__t197,bash_subst,False,False,False,fake_decision padding,fake_decision invalid padding,fake_decision padding,7,8
bash_subst__t201,bash_subst,False,False,False,fake_decision invalid padding wrong_task,fake_decision invalid padding,fake_decision invalid padding,6,14
bash_test__t003,bash_test,False,True,False,padding,,,3,0
bash_test__t004,bash_test,False,False,False,invalid padding,invalid meaning_change padding,invalid padding,2,3
bash_test__t006,bash_test,False,False,False,extra_change padding,family_rule padding,padding,2,2
bash_test__t007,bash_test,False,False,False,extra_change fake_decision padding,family_rule padding,padding,5,7
bash_test__t009,bash_test,False,True,False,padding,,,1,0
bash_test__t010,bash_test,False,False,False,extra_change,extra_change family_rule,extra_change,1,2
bash_test__t012,bash_test,False,False,False,extra_change inconsistent_convention meaning_change meta_comment padding,extra_change family_rule meaning_change padding,extra_change meaning_change padding,5,6
bash_test__t014,bash_test,False,False,False,family_rule padding,extra_change padding wrong_task,padding,5,7
bash_test__t015,bash_test,False,False,False,fake_decision meaning_change padding,fake_decision padding scope_creep,fake_decision padding,6,9
bash_test__t016,bash_test,False,False,False,family_rule inconsistent_convention meaning_change padding scope_creep,extra_change family_rule,family_rule,5,10
bash_test__t019,bash_test,False,False,False,extra_change family_rule padding,extra_change fake_decision family_rule padding scope_creep,extra_change family_rule padding,4,8
bash_test__t020,bash_test,False,False,False,extra_change meaning_change padding,extra_change family_rule padding,extra_change padding,8,8
bash_test__t023,bash_test,False,True,False,padding wrong_task,,,3,0
bash_test__t024,bash_test,False,False,False,padding,padding,padding,5,10
bash_test__t026,bash_test,False,False,False,extra_change inconsistent_convention padding wrong_task,fake_decision family_rule padding wrong_task,padding wrong_task,5,10
bash_test__t027,bash_test,False,False,False,inconsistent_convention meaning_change meta_comment padding scope_creep wrong_task,extra_change family_rule meta_comment padding scope_creep,meta_comment padding scope_creep,7,17
bash_test__t030,bash_test,False,False,False,inconsistent_convention meaning_change padding scope_creep wrong_task,extra_change family_rule meaning_change scope_creep,meaning_change scope_creep,6,4
bash_test__t032,bash_test,False,False,False,family_rule meaning_change padding wrong_task,extra_change family_rule padding wrong_task,family_rule padding wrong_task,6,9
bash_test__t033,bash_test,False,False,False,extra_change inconsistent_convention meta_comment padding,extra_change family_rule meta_comment padding scope_creep,extra_change meta_comment padding,6,6
bash_test__t034,bash_test,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,11,24
bash_test__t035,bash_test,False,False,False,extra_change padding wrong_task,family_rule padding wrong_task,padding wrong_task,5,5
bash_test__t036,bash_test,False,False,False,family_rule inconsistent_convention meaning_change padding,extra_change family_rule meaning_change scope_creep,family_rule meaning_change,4,4
bash_test__t037,bash_test,False,False,False,padding wrong_task,padding wrong_task,padding wrong_task,3,2
bash_test__t038,bash_test,False,False,False,family_rule meta_comment padding,family_rule meta_comment scope_creep,family_rule meta_comment,4,3
bash_test__t040,bash_test,False,False,False,family_rule meaning_change padding,extra_change meaning_change padding,meaning_change padding,4,3
bash_test__t041,bash_test,False,False,False,extra_change padding,family_rule padding wrong_task,padding,3,9
bash_test__t043,bash_test,False,False,False,inconsistent_convention meaning_change padding scope_creep,extra_change family_rule meaning_change padding,meaning_change padding,4,4
bash_test__t046,bash_test,False,False,False,extra_change padding,family_rule padding,padding,3,2
bash_test__t047,bash_test,False,False,False,padding,padding wrong_task,padding,3,8
bash_test__t048,bash_test,False,False,False,extra_change family_rule padding,extra_change fake_decision family_rule padding,extra_change family_rule padding,3,5
bash_test__t049,bash_test,False,False,False,fake_decision invalid padding wrong_task,fake_decision invalid meaning_change padding,fake_decision invalid padding,5,6
bash_test__t050,bash_test,False,False,False,fake_decision padding scope_creep wrong_task,extra_change padding wrong_task,padding wrong_task,10,12
bash_test__t051,bash_test,False,False,False,padding,padding,padding,3,2
bash_test__t052,bash_test,False,False,False,extra_change padding wrong_task,padding,padding,6,4
bash_test__t054,bash_test,False,True,False,padding,,,3,0
bash_test__t055,bash_test,False,False,False,extra_change meaning_change padding scope_creep,extra_change family_rule meaning_change scope_creep wrong_task,extra_change meaning_change scope_creep,4,5
bash_test__t056,bash_test,False,False,False,padding,padding,padding,1,2
bash_test__t057,bash_test,False,False,False,extra_change family_rule line_correspondence padding,extra_change family_rule scope_creep,extra_change family_rule,4,3
bash_test__t058,bash_test,False,False,False,inconsistent_convention meaning_change padding scope_creep,extra_change family_rule meaning_change padding scope_creep wrong_task,meaning_change padding scope_creep,5,10
bash_test__t059,bash_test,False,False,False,extra_change family_rule padding,extra_change family_rule meaning_change scope_creep wrong_task,extra_change family_rule,4,7
bash_test__t060,bash_test,False,False,False,extra_change family_rule padding,extra_change scope_creep,extra_change,3,2
bash_test__t061,bash_test,False,False,False,extra_change family_rule padding,extra_change family_rule scope_creep,extra_change family_rule,3,3
bash_test__t062,bash_test,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,5,3
bash_test__t063,bash_test,False,False,False,padding,wrong_task,,2,2
bash_test__t064,bash_test,False,False,False,fake_decision inconsistent_convention padding,fake_decision family_rule,fake_decision,4,6
bash_test__t065,bash_test,False,False,False,meaning_change padding,family_rule meaning_change padding,meaning_change padding,3,4
bash_test__t066,bash_test,False,False,False,meaning_change padding,meaning_change,meaning_change,4,1
bash_test__t068,bash_test,False,False,False,padding,wrong_task,,2,2
bash_test__t069,bash_test,False,False,False,padding wrong_task,scope_creep,,4,2
bash_test__t071,bash_test,False,False,False,family_rule inconsistent_convention meta_comment padding,extra_change family_rule padding scope_creep,family_rule padding,9,11
bash_test__t072,bash_test,False,False,False,extra_change family_rule padding,extra_change family_rule padding scope_creep,extra_change family_rule padding,3,4
bash_test__t073,bash_test,False,False,False,extra_change inconsistent_convention meta_comment padding,extra_change family_rule padding scope_creep,extra_change padding,6,7
bash_test__t074,bash_test,False,False,False,extra_change,family_rule,,1,1
bash_test__t075,bash_test,False,False,False,family_rule meaning_change padding wrong_task,extra_change family_rule padding scope_creep,family_rule padding,7,7
bash_test__t077,bash_test,False,False,False,invalid meaning_change padding,invalid meaning_change padding,invalid meaning_change padding,6,5
bash_test__t081,bash_test,False,False,False,inconsistent_convention line_correspondence meaning_change padding scope_creep,family_rule padding,padding,10,7
bash_test__t082,bash_test,False,False,False,extra_change inconsistent_convention padding wrong_task,extra_change inconsistent_convention padding,extra_change inconsistent_convention padding,8,8
bash_test__t085,bash_test,False,False,False,extra_change fake_decision meta_comment padding wrong_task,family_rule padding wrong_task,padding wrong_task,9,12
bash_test__t086,bash_test,False,False,False,inconsistent_convention padding,inconsistent_convention padding,inconsistent_convention padding,6,12
bash_test__t087,bash_test,False,False,False,extra_change family_rule scope_creep,extra_change family_rule scope_creep,extra_change family_rule scope_creep,3,6
bash_test__t088,bash_test,False,False,False,extra_change family_rule meaning_change padding,extra_change family_rule meaning_change scope_creep,extra_change family_rule meaning_change,4,4
bash_test__t090,bash_test,False,False,False,extra_change family_rule meaning_change padding,extra_change family_rule padding scope_creep,extra_change family_rule padding,5,10
bash_test__t091,bash_test,False,False,False,extra_change fake_decision family_rule,extra_change family_rule scope_creep,extra_change family_rule,3,6
bash_test__t092,bash_test,False,False,False,family_rule padding,extra_change family_rule scope_creep wrong_task,family_rule,3,4
bash_test__t093,bash_test,True,True,True,,,,0,0
bash_test__t094,bash_test,False,False,False,invalid meaning_change padding,meaning_change,meaning_change,5,2
bash_test__t095,bash_test,False,False,False,invalid meaning_change padding,meaning_change padding,meaning_change padding,4,3
bash_test__t096,bash_test,False,False,False,padding wrong_task,padding wrong_task,padding wrong_task,4,7
bash_test__t097,bash_test,False,True,False,padding,,,1,0
bash_test__t098,bash_test,False,False,False,extra_change family_rule meaning_change padding,family_rule meaning_change padding wrong_task,family_rule meaning_change padding,5,5
bash_test__t099,bash_test,False,False,False,fake_decision inconsistent_convention,fake_decision family_rule,fake_decision,2,2
bash_test__t100,bash_test,False,False,False,family_rule inconsistent_convention padding,extra_change family_rule padding scope_creep,family_rule padding,6,7
bash_test__t101,bash_test,False,False,False,inconsistent_convention meaning_change padding scope_creep,extra_change fake_decision family_rule meaning_change padding scope_creep,meaning_change padding scope_creep,4,8
bash_test__t103,bash_test,True,True,True,,,,0,0
bash_test__t104,bash_test,False,False,False,fake_decision family_rule meaning_change padding,extra_change fake_decision family_rule padding scope_creep wrong_task,fake_decision family_rule padding,5,14
bash_test__t105,bash_test,False,True,False,padding,,,1,0
bash_test__t106,bash_test,False,False,False,extra_change line_correspondence meaning_change scope_creep,extra_change scope_creep,extra_change scope_creep,4,4
bash_test__t107,bash_test,False,False,False,extra_change family_rule,extra_change invalid meaning_change,extra_change,2,3
bash_test__t108,bash_test,False,False,False,extra_change padding,family_rule padding,padding,3,4
bash_test__t109,bash_test,False,False,False,extra_change padding,family_rule,,2,1
bash_test__t110,bash_test,False,False,False,padding wrong_task,wrong_task,wrong_task,2,6
bash_test__t112,bash_test,False,False,False,extra_change family_rule inconsistent_convention padding,extra_change family_rule padding scope_creep,extra_change family_rule padding,4,4
bash_test__t113,bash_test,False,False,False,extra_change fake_decision padding,extra_change fake_decision family_rule,extra_change fake_decision,4,3
bash_test__t114,bash_test,False,False,False,invalid meaning_change padding,meaning_change,meaning_change,3,2
bash_test__t115,bash_test,False,False,False,invalid meaning_change padding wrong_task,extra_change meaning_change scope_creep,meaning_change,4,3
bash_test__t116,bash_test,False,False,False,family_rule meaning_change padding,extra_change family_rule scope_creep,family_rule,4,3
bash_test__t117,bash_test,False,False,False,inconsistent_convention meta_comment padding,family_rule inconsistent_convention padding,inconsistent_convention padding,7,11
bash_test__t118,bash_test,False,False,False,extra_change line_correspondence meaning_change,extra_change family_rule,extra_change,3,2
bash_test__t119,bash_test,False,False,False,extra_change inconsistent_convention padding scope_creep,extra_change family_rule scope_creep,extra_change scope_creep,4,3
bash_test__t121,bash_test,False,False,False,inconsistent_convention padding,inconsistent_convention padding wrong_task,inconsistent_convention padding,10,24
bash_test__t122,bash_test,False,False,False,padding,padding,padding,1,2
bash_test__t123,bash_test,False,False,False,padding,padding,padding,4,4
bash_test__t124,bash_test,False,False,False,padding,padding,padding,2,2
bash_test__t125,bash_test,False,False,False,inconsistent_convention padding,family_rule inconsistent_convention padding,inconsistent_convention padding,4,4
bash_test__t126,bash_test,False,False,False,family_rule inconsistent_convention meaning_change padding,extra_change family_rule scope_creep,family_rule,5,3
bash_test__t129,bash_test,False,False,False,family_rule meaning_change scope_creep wrong_task,extra_change family_rule padding scope_creep wrong_task,family_rule scope_creep wrong_task,4,7
bash_test__t130,bash_test,False,False,False,extra_change wrong_task,scope_creep,,2,1
bash_test__t131,bash_test,False,False,False,extra_change,extra_change,extra_change,1,1
bash_test__t132,bash_test,False,False,False,fake_decision family_rule meaning_change padding,fake_decision family_rule padding,fake_decision family_rule padding,7,7
bash_test__t135,bash_test,False,False,False,extra_change padding,padding scope_creep,padding,4,4
bash_test__t136,bash_test,False,False,False,inconsistent_convention meta_comment padding,inconsistent_convention padding wrong_task,inconsistent_convention padding,8,10
bash_test__t138,bash_test,False,False,False,extra_change padding,padding,padding,4,10
bash_test__t139,bash_test,False,False,False,extra_change family_rule line_correspondence meta_comment padding,family_rule padding,family_rule padding,7,6
bash_test__t140,bash_test,False,False,False,extra_change family_rule meaning_change padding,extra_change family_rule padding scope_creep,extra_change family_rule padding,4,10
bash_test__t141,bash_test,False,False,False,family_rule inconsistent_convention meaning_change scope_creep,extra_change family_rule meaning_change,family_rule meaning_change,4,3
bash_test__t143,bash_test,False,True,False,extra_change,,,1,0
bash_test__t144,bash_test,False,False,False,padding,padding,padding,4,8
bash_test__t146,bash_test,False,False,False,family_rule meaning_change padding,extra_change family_rule invalid meaning_change padding scope_creep,family_rule meaning_change padding,4,10
bash_test__t147,bash_test,False,False,False,padding wrong_task,wrong_task,wrong_task,4,1
bash_test__t148,bash_test,False,False,False,extra_change meaning_change padding,extra_change family_rule padding scope_creep,extra_change padding,5,7
bash_test__t151,bash_test,False,True,False,padding wrong_task,,,2,0
bash_test__t153,bash_test,False,False,False,extra_change padding,family_rule padding,padding,2,3
bash_test__t154,bash_test,False,False,False,inconsistent_convention invalid meaning_change padding scope_creep wrong_task,extra_change padding,padding,6,8
bash_test__t155,bash_test,False,False,False,fake_decision inconsistent_convention padding,fake_decision family_rule inconsistent_convention padding,fake_decision inconsistent_convention padding,6,6
bash_test__t156,bash_test,False,False,False,extra_change meaning_change padding,extra_change family_rule meaning_change padding scope_creep,extra_change meaning_change padding,6,8
bash_test__t157,bash_test,False,False,False,extra_change padding,scope_creep,,2,3
bash_test__t158,bash_test,False,False,False,extra_change inconsistent_convention padding,extra_change family_rule padding scope_creep,extra_change padding,3,8
bash_test__t159,bash_test,False,False,False,family_rule padding,wrong_task,,3,4
bash_test__t162,bash_test,False,False,False,meaning_change padding,family_rule meaning_change,meaning_change,3,2
bash_test__t164,bash_test,False,False,False,extra_change inconsistent_convention line_correspondence meaning_change padding,extra_change family_rule inconsistent_convention line_correspondence padding,extra_change inconsistent_convention line_correspondence padding,5,5
bash_test__t165,bash_test,False,False,False,padding scope_creep,extra_change padding,padding,3,3
bash_test__t166,bash_test,False,False,False,extra_change padding,family_rule,,2,1
bash_test__t168,bash_test,False,False,False,fake_decision invalid meaning_change padding,extra_change family_rule meaning_change padding,meaning_change padding,5,7
bash_test__t169,bash_test,False,False,False,inconsistent_convention meaning_change padding,extra_change meaning_change padding scope_creep,meaning_change padding,4,7
